timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,198.85,193.66,198.3,194.23,193.87,196.47,8820650,1727868656.12,266.8,169.15,INE545U01014,195.89,-2.05,2.38,-1.14,nan,nan,nan,nan
2024-06-14,195.9,193.53,194.4,194.34,194.15,194.23,5128519,998282296.73,266.8,169.15,INE545U01014,194.65,-0.03,0.80,0.06,nan,nan,nan,nan
2024-06-18,198.75,193.51,195.0,198.04,198.25,194.34,8385218,1650706840.04,263.1,169.15,INE545U01014,196.86,1.56,0.36,1.90,nan,nan,nan,nan
2024-06-19,201.7,196.54,198.3,198.83,199.0,198.04,24410955,4867670920.96,263.1,169.15,INE545U01014,199.41,0.27,1.44,0.40,nan,nan,nan,nan
2024-06-20,209.75,199.01,199.95,208.18,207.97,198.83,39711959,8189275948.15,263.1,169.15,INE545U01014,206.22,4.12,0.75,4.70,nan,nan,nan,nan
2024-06-21,210.85,206.0,209.09,209.23,208.81,208.18,23990564,5013961166.94,263.1,169.15,INE545U01014,209.0,0.07,0.77,0.50,nan,nan,nan,nan
2024-06-24,209.29,204.61,207.8,207.94,207.5,209.23,8450335,1751259780.61,263.1,169.15,INE545U01014,207.24,0.07,0.65,-0.62,nan,nan,nan,nan
2024-06-25,205.6,198.8,200.0,203.45,203.6,207.94,25150275,5105949429.11,263.1,169.15,INE545U01014,203.02,1.72,1.06,-2.16,nan,nan,nan,nan
2024-06-26,208.5,203.05,205.0,205.57,204.98,203.45,22029562,4538449559.65,263.1,169.15,INE545U01014,206.02,0.28,1.43,1.04,nan,nan,nan,nan
2024-06-27,205.95,199.05,205.5,200.3,200.9,205.57,15437904,3118155812.55,263.1,169.15,INE545U01014,201.98,-2.53,2.82,-2.56,nan,nan,nan,nan
2024-06-28,206.99,200.91,202.2,203.78,204.0,200.3,9047376,1847194525.6,263.1,169.15,INE545U01014,204.17,0.78,1.58,1.74,nan,nan,nan,nan
2024-07-01,206.75,203.77,204.0,205.86,206.1,203.78,6917067,1421123488.29,263.1,169.15,INE545U01014,205.45,0.91,0.43,1.02,nan,nan,nan,nan
2024-07-02,206.88,200.9,206.85,202.24,202.8,205.86,7947836,1618385214.21,263.1,169.15,INE545U01014,203.63,-2.23,2.29,-1.76,nan,nan,nan,nan
2024-07-03,211.7,202.42,203.5,211.13,210.35,202.24,23960719,4999796571.48,263.1,169.15,INE545U01014,208.67,3.75,0.27,4.40,nan,nan,nan,nan
2024-07-04,214.6,206.16,210.25,208.06,207.4,211.13,27883085,5841691553.87,263.1,169.15,INE545U01014,209.51,-1.04,3.14,-1.45,61.12,nan,nan,nan
2024-07-05,206.7,203.0,206.7,204.33,204.3,208.06,11946566,2442522668.88,263.1,169.15,INE545U01014,204.45,-1.15,1.16,-1.79,54.66,nan,nan,nan
2024-07-08,205.22,201.11,202.46,204.47,204.0,204.33,8768558,1779648448.0,263.1,169.15,INE545U01014,202.96,0.99,0.37,0.07,54.85,nan,nan,nan
2024-07-09,205.6,200.0,205.0,200.76,200.45,204.47,8027550,1628560517.95,263.1,169.15,INE545U01014,202.87,-2.07,2.41,-1.81,48.91,nan,nan,nan
2024-07-10,201.56,190.05,201.52,192.43,192.4,200.76,24679628,4781946046.23,263.1,169.15,INE545U01014,193.76,-4.51,4.74,-4.15,38.77,nan,nan,nan
2024-07-11,197.0,192.3,193.85,196.72,196.88,192.43,9205351,1799641397.31,263.1,169.15,INE545U01014,195.5,1.48,0.14,2.23,45.08,nan,nan,nan
2024-07-12,197.89,192.22,197.19,192.6,192.94,196.72,10446564,2029847812.9,263.1,169.15,INE545U01014,194.31,-2.33,2.75,-2.09,40.74,nan,nan,nan
2024-07-15,195.8,191.81,193.39,195.32,195.4,192.6,6366233,1234257756.68,263.1,169.15,INE545U01014,193.88,1.00,0.25,1.41,44.54,nan,nan,nan
2024-07-16,202.95,194.72,195.99,198.43,198.1,195.32,29906784,5960326290.17,263.1,169.15,INE545U01014,199.3,1.24,2.28,1.59,48.60,nan,nan,nan
2024-07-18,201.26,195.7,198.01,195.93,196.25,198.43,8349371,1654312814.77,263.1,169.15,INE545U01014,198.14,-1.05,2.72,-1.26,45.70,nan,nan,nan
2024-07-19,195.9,191.0,195.9,192.45,191.5,195.93,8287965,1597868278.72,263.1,169.15,INE545U01014,192.79,-1.76,1.79,-1.78,41.95,nan,nan,nan
2024-07-22,199.0,190.4,191.03,197.94,197.4,192.45,10624805,2086814928.37,263.1,169.15,INE545U01014,196.41,3.62,0.54,2.85,49.05,-3.16,nan,nan
2024-07-23,199.49,189.1,197.3,195.52,196.15,197.94,10847273,2116558391.47,263.1,169.15,INE545U01014,195.12,-0.90,2.03,-1.22,46.36,-3.10,nan,nan
2024-07-23,199.49,189.1,197.3,195.52,196.15,197.94,10847273,2116558391.47,263.1,169.15,INE545U01014,195.12,-0.90,2.03,-1.22,46.36,-3.02,nan,nan
2024-07-24,198.4,186.54,196.0,188.1,188.2,195.52,32878186,6231472262.38,263.1,169.15,INE545U01014,189.53,-4.03,5.48,-3.80,38.79,-3.51,nan,nan
2024-07-25,188.95,185.53,188.1,185.83,185.9,188.1,11606916,2169126216.08,263.1,169.15,INE545U01014,186.88,-1.21,1.68,-1.21,36.81,-4.04,nan,nan
2024-07-26,193.25,184.75,185.1,192.5,192.6,185.83,14431603,2733212285.54,263.1,169.15,INE545U01014,189.39,4.00,0.39,3.59,45.60,-3.87,nan,nan
2024-07-29,220.0,200.11,203.0,218.87,218.5,192.5,133627172,28519270229.72,263.1,169.15,INE545U01014,213.42,7.82,0.52,13.70,65.83,-1.60,nan,nan
