timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,1455.95,1420.45,1449.0,1425.75,1425.0,1438.4,7990376,11456855785.8,1455.95,819.0,INE397D01024,1433.83,-1.60,2.12,-0.88,nan,nan,nan,nan
2024-06-14,1434.0,1420.95,1434.0,1427.4,1429.4,1425.75,3978442,5675158029.25,1455.95,819.0,INE397D01024,1426.48,-0.46,0.46,0.12,nan,nan,nan,nan
2024-06-18,1444.0,1418.0,1444.0,1428.35,1427.55,1427.4,8671131,12378185076.5,1455.95,826.85,INE397D01024,1427.52,-1.08,1.10,0.07,nan,nan,nan,nan
2024-06-19,1434.8,1388.3,1433.95,1392.35,1393.9,1428.35,8640918,12163882182.85,1455.95,826.85,INE397D01024,1407.71,-2.90,3.05,-2.52,nan,nan,nan,nan
2024-06-20,1406.95,1376.25,1405.95,1381.15,1380.95,1392.35,8742855,12124517992.7,1455.95,826.85,INE397D01024,1386.79,-1.76,1.87,-0.80,nan,nan,nan,nan
2024-06-21,1423.95,1372.85,1384.95,1416.05,1403.75,1381.15,43929578,62087786596.5,1455.95,826.85,INE397D01024,1413.35,2.25,0.56,2.53,nan,nan,nan,nan
2024-06-24,1423.8,1389.35,1402.0,1419.8,1418.35,1416.05,6195831,8773481017.6,1455.95,846.35,INE397D01024,1416.03,1.27,0.28,0.26,nan,nan,nan,nan
2024-06-25,1434.0,1409.85,1434.0,1414.95,1415.6,1419.8,6353748,9010746033.7,1455.95,846.35,INE397D01024,1418.18,-1.33,1.35,-0.34,nan,nan,nan,nan
2024-06-26,1479.95,1408.95,1414.95,1459.5,1462.0,1414.95,9579826,13874933244.65,1479.95,846.35,INE397D01024,1448.35,3.15,1.40,3.15,nan,nan,nan,nan
2024-06-27,1489.0,1440.05,1464.0,1475.8,1480.0,1459.5,19675528,28878001926.5,1489.0,846.35,INE397D01024,1467.71,0.81,0.89,1.12,nan,nan,nan,nan
2024-06-28,1536.25,1436.65,1536.25,1444.05,1449.0,1475.8,29145832,42839696769.1,1536.25,846.35,INE397D01024,1469.84,-6.00,6.38,-2.15,nan,nan,nan,nan
2024-07-01,1466.8,1449.25,1450.0,1454.0,1458.0,1444.05,6011806,8751708327.75,1536.25,847.05,INE397D01024,1455.75,0.28,0.88,0.69,nan,nan,nan,nan
