timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,621.5,613.5,619.0,619.35,619.3,613.35,6025162,3722109927.8,687.95,331.45,INE029A01011,617.76,0.06,0.35,0.98,nan,nan,nan,nan
2024-06-14,629.3,618.25,622.3,626.65,626.45,619.35,7314322,4576682936.8,687.95,331.45,INE029A01011,625.72,0.70,0.42,1.18,nan,nan,nan,nan
2024-06-18,635.0,626.4,635.0,630.9,631.6,626.65,7942475,5010178647.0,687.95,331.45,INE029A01011,630.81,-0.65,0.65,0.68,nan,nan,nan,nan
2024-06-19,634.2,615.0,634.2,615.8,616.25,630.9,9824003,6092296281.75,687.95,331.45,INE029A01011,620.14,-2.90,2.99,-2.39,nan,nan,nan,nan
2024-06-20,628.8,612.8,620.0,626.25,627.0,615.8,9038323,5633007320.7,687.95,331.45,INE029A01011,623.24,1.01,0.41,1.70,nan,nan,nan,nan
2024-06-21,319.0,305.1,318.0,307.6,308.3,626.25,30004484,9310783933.55,687.95,305.1,INE029A01011,310.31,-3.27,3.71,-50.88,nan,nan,nan,nan
2024-06-24,309.7,303.3,309.7,305.25,305.25,307.6,7557297,2312320675.05,687.95,303.3,INE029A01011,305.97,-1.44,1.46,-0.76,nan,nan,nan,nan
2024-06-25,306.45,294.8,305.25,296.3,296.75,305.25,15630568,4672345605.25,687.95,294.8,INE029A01011,298.92,-2.93,3.43,-2.93,nan,nan,nan,nan
2024-06-26,300.85,296.25,298.0,298.4,298.75,296.3,7973173,2384382305.15,687.95,294.8,INE029A01011,299.05,0.13,0.82,0.71,nan,nan,nan,nan
2024-06-27,307.0,296.05,298.8,304.85,305.8,298.4,12487595,3765473007.55,687.95,294.8,INE029A01011,301.54,2.02,0.71,2.16,nan,nan,nan,nan
2024-06-28,306.6,301.55,305.85,303.95,303.25,304.85,9077880,2761540997.75,687.95,294.8,INE029A01011,304.21,-0.62,0.87,-0.30,nan,nan,nan,nan
2024-07-01,306.85,303.3,305.7,304.55,304.05,303.95,4793023,1461221928.2,687.95,294.8,INE029A01011,304.86,-0.38,0.76,0.20,nan,nan,nan,nan
2024-07-02,308.25,302.2,304.0,304.4,304.4,304.55,5553786,1695323314.75,687.95,294.8,INE029A01011,305.26,0.13,1.26,-0.05,nan,nan,nan,nan
2024-07-03,307.45,303.0,305.5,306.6,305.95,304.4,4355165,1331736523.9,687.95,294.8,INE029A01011,305.78,0.36,0.28,0.72,nan,nan,nan,nan
2024-07-04,308.5,301.95,306.6,303.0,304.0,306.6,6607472,2014535389.2,687.95,294.8,INE029A01011,304.89,-1.17,1.82,-1.17,8.96,nan,nan,nan
2024-07-05,307.2,302.0,303.0,306.65,306.5,303.0,7684768,2346412575.15,687.95,294.8,INE029A01011,305.33,1.20,0.18,1.20,10.72,nan,nan,nan
