timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,125.0,121.4,124.51,121.92,122.7,122.79,62531469,7668519245.24,632.9,96.2,INE476A01022,122.63,-2.08,2.53,-0.71,nan,nan,nan,nan
2024-06-14,120.99,119.3,120.0,120.81,120.9,121.92,32576803,3921870229.81,632.9,96.2,INE476A01022,120.39,0.68,0.15,-0.91,nan,nan,nan,nan
2024-06-18,122.5,121.32,121.85,121.88,121.89,120.81,33945927,4138510139.43,632.9,96.2,INE476A01022,121.91,0.02,0.51,0.89,nan,nan,nan,nan
2024-06-19,122.85,120.61,121.89,121.16,121.24,121.88,45620625,5555132865.29,632.9,96.2,INE476A01022,121.77,-0.60,1.39,-0.59,nan,nan,nan,nan
2024-06-20,122.2,120.93,121.5,121.2,121.29,121.16,19050406,2314697023.38,632.9,96.2,INE476A01022,121.5,-0.25,0.83,0.03,nan,nan,nan,nan
2024-06-21,121.79,118.5,121.3,119.12,119.45,121.2,32273022,3869755262.33,632.9,96.2,INE476A01022,119.91,-1.80,2.24,-1.72,nan,nan,nan,nan
2024-06-24,121.57,116.21,118.0,118.27,118.6,119.12,44230331,5245474362.56,632.9,96.2,INE476A01022,118.59,0.23,2.79,-0.71,nan,nan,nan,nan
2024-06-25,119.74,116.85,119.24,118.05,117.89,118.27,36965833,4360214215.18,632.9,96.2,INE476A01022,117.95,-1.00,1.43,-0.19,nan,nan,nan,nan
2024-06-26,119.37,117.21,117.95,118.69,118.56,118.05,21602758,2558120578.65,632.9,96.2,INE476A01022,118.42,0.63,0.57,0.54,nan,nan,nan,nan
2024-06-27,119.4,116.84,118.18,118.11,118.24,118.69,28134054,3326292793.88,632.9,96.2,INE476A01022,118.23,-0.06,1.09,-0.49,nan,nan,nan,nan
2024-06-28,121.89,118.25,118.25,119.47,119.52,118.11,43712892,5252478211.71,632.9,96.2,INE476A01022,120.16,1.03,2.03,1.15,nan,nan,nan,nan
2024-07-01,120.19,117.9,119.35,118.36,118.44,119.47,20506793,2437429080.64,632.9,96.2,INE476A01022,118.86,-0.83,1.55,-0.93,nan,nan,nan,nan
2024-07-02,118.98,115.5,118.8,116.25,116.3,118.36,23399374,2736312938.54,632.9,96.2,INE476A01022,116.94,-2.15,2.35,-1.78,nan,nan,nan,nan
2024-07-03,117.99,116.5,117.1,117.05,117.2,116.25,16011335,1875633692.17,632.9,96.2,INE476A01022,117.14,-0.04,0.80,0.69,nan,nan,nan,nan
2024-07-04,118.0,116.35,117.7,117.27,117.19,117.05,20110432,2356828090.94,632.9,96.2,INE476A01022,117.19,-0.37,0.62,0.19,34.00,nan,nan,nan
2024-07-05,117.98,116.52,117.0,117.76,117.85,117.27,20103764,2361310596.44,632.9,96.2,INE476A01022,117.46,0.65,0.19,0.42,37.92,nan,nan,nan
2024-07-08,118.08,114.66,117.5,114.89,114.99,117.76,34032815,3954146312.18,632.9,96.2,INE476A01022,116.19,-2.22,2.78,-2.44,27.59,nan,nan,nan
2024-07-09,117.25,114.9,115.0,116.0,115.95,114.89,32861024,3818005612.72,632.9,96.2,INE476A01022,116.19,0.87,1.08,0.97,34.97,nan,nan,nan
2024-07-10,116.25,112.9,116.25,114.76,114.77,116.0,22991042,2634100399.81,632.9,96.2,INE476A01022,114.57,-1.28,1.30,-1.07,31.15,nan,nan,nan
2024-07-11,115.45,113.8,115.3,114.15,114.2,114.76,13553009,1549836211.83,632.9,96.2,INE476A01022,114.35,-1.00,1.14,-0.53,29.44,nan,nan,nan
2024-07-12,114.8,112.3,114.73,112.72,112.75,114.15,22397084,2540228216.64,632.9,96.2,INE476A01022,113.42,-1.75,1.85,-1.25,25.87,nan,nan,nan
2024-07-15,117.55,112.4,113.25,117.25,117.3,112.72,49372062,5706032209.97,632.9,96.2,INE476A01022,115.57,3.53,0.26,4.02,47.57,nan,nan,nan
2024-07-16,118.11,115.6,117.6,116.04,116.09,117.25,34514206,4017716572.98,632.9,96.2,INE476A01022,116.41,-1.33,1.78,-1.03,43.88,nan,nan,nan
2024-07-18,117.59,114.73,116.04,115.77,115.67,116.04,24517941,2849613579.99,632.9,96.2,INE476A01022,116.23,-0.23,1.57,-0.23,43.07,nan,nan,nan
2024-07-19,116.8,112.33,115.8,112.89,112.5,115.77,33377806,3802189719.57,632.9,96.2,INE476A01022,113.91,-2.51,3.46,-2.49,35.58,nan,nan,nan
2024-07-22,115.49,111.03,112.8,114.76,114.63,112.89,21519135,2461534284.35,632.9,96.2,INE476A01022,114.39,1.74,0.64,1.66,42.57,-1.95,nan,nan
2024-07-23,115.4,109.0,115.4,112.86,112.9,114.76,26483458,2991522235.75,632.9,96.2,INE476A01022,112.96,-2.20,2.25,-1.66,38.05,-2.02,nan,nan
2024-07-23,115.4,109.0,115.4,112.86,112.9,114.76,26483458,2991522235.75,632.9,96.2,INE476A01022,112.96,-2.20,2.25,-1.66,38.05,-2.05,nan,nan
2024-07-24,113.9,111.54,112.99,112.46,112.74,112.86,24622269,2769255399.2,632.9,96.2,INE476A01022,112.47,-0.47,1.28,-0.35,37.09,-2.08,nan,nan
