timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,symChange,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,139.15,135.75,137.19,136.46,136.6,136.39,8393790,1151415138.71,145.7,58.05,INE069I01010,137.17,,-0.53,1.97,0.05,nan,nan,nan,nan
2024-06-14,140.5,134.42,137.05,138.82,138.5,136.46,14784058,2041911410.03,145.7,58.05,INE069I01010,138.12,,1.29,1.21,1.73,nan,nan,nan,nan
2024-06-18,140.6,136.72,139.65,137.42,137.6,138.82,9385097,1296978576.45,145.7,58.05,INE069I01010,138.2,,-1.60,2.31,-1.01,nan,nan,nan,nan
2024-06-19,138.1,133.5,138.0,136.92,136.8,137.42,9832078,1334561833.98,145.7,58.05,INE069I01010,135.74,,-0.78,0.86,-0.36,nan,nan,nan,nan
2024-06-20,161.0,136.26,136.97,154.93,154.84,136.92,87811190,13307192009.45,161.0,58.05,INE069I01010,151.54,,13.11,3.92,13.15,nan,nan,nan,nan
2024-06-21,162.92,154.21,156.7,156.41,156.6,154.93,31686544,5008039139.92,162.92,58.05,INE069I01010,158.05,,-0.19,4.16,0.96,nan,nan,nan,nan
2024-06-24,164.36,153.1,155.0,160.35,159.65,156.41,30243945,4826105524.19,164.36,58.05,INE069I01010,159.57,,3.45,2.50,2.52,nan,nan,nan,nan
2024-06-25,161.03,152.2,160.51,153.95,153.6,160.35,15138775,2354730659.68,164.36,58.05,INE069I01010,155.54,,-4.09,4.60,-3.99,nan,nan,nan,nan
2024-06-26,157.5,153.1,153.99,154.26,154.0,153.95,11192784,1734588824.86,164.36,58.05,INE069I01010,154.97,,0.18,2.10,0.20,nan,nan,nan,nan
2024-06-27,153.99,143.23,153.66,144.57,144.7,154.26,26756893,3942518904.53,164.36,58.05,INE069I01010,147.35,,-5.92,6.52,-6.28,nan,nan,nan,nan
2024-06-28,147.75,142.22,143.0,145.06,144.7,144.57,19361504,2798955019.15,164.36,58.05,INE069I01010,144.56,,1.44,1.85,0.34,nan,nan,nan,nan
2024-07-01,150.75,143.65,145.45,148.92,148.5,145.06,13174894,1953404823.94,164.36,59.7,INE069I01010,148.27,,2.39,1.23,2.66,nan,nan,nan,nan
2024-07-02,155.0,148.2,149.46,152.83,153.0,148.92,20117906,3065254615.73,164.36,59.7,INE069I01010,152.36,,2.25,1.42,2.63,nan,nan,nan,nan
2024-07-03,157.8,150.81,154.1,151.26,151.69,152.83,12846919,1976941791.99,164.36,59.7,INE069I01010,153.88,,-1.84,4.32,-1.03,nan,nan,nan,nan
2024-07-04,153.4,148.52,152.5,148.98,149.14,151.26,8940760,1350831563.61,164.36,59.7,INE069I01010,151.09,,-2.31,2.97,-1.51,56.40,nan,nan,nan
2024-07-05,153.0,148.6,149.19,150.35,150.6,148.98,9300816,1406126716.59,164.36,59.7,INE069I01010,151.18,,0.78,1.76,0.92,58.19,nan,nan,nan
2024-07-08,151.72,145.89,150.75,147.49,146.9,150.35,5152855,762793485.5,164.36,61.0,INE069I01010,148.03, Symbol changed to EMBDL. Company name changed to EQUINOX INDIA DEVELOPMENTS LIMITED.,-2.16,2.87,-1.90,53.27,nan,nan,nan
2024-07-09,148.4,145.0,147.71,146.96,146.26,147.49,4149111,608085025.08,164.36,61.0,INE069I01010,146.56,,-0.51,0.98,-0.36,52.39,nan,nan,nan
2024-07-10,147.0,136.8,146.99,141.36,141.5,146.96,7966993,1126488957.61,164.36,61.0,INE069I01010,141.39,,-3.83,3.99,-3.81,44.08,nan,nan,nan
2024-07-11,144.15,141.1,142.0,141.56,141.52,141.36,4252082,605851876.31,164.36,61.0,INE069I01010,142.48,,-0.31,1.83,0.14,44.42,nan,nan,nan
2024-07-12,142.35,137.51,142.09,138.47,138.25,141.56,6508198,907070077.65,164.36,61.0,INE069I01010,139.37,,-2.55,2.80,-2.18,40.34,nan,nan,nan
2024-07-15,141.74,135.6,139.15,140.04,140.31,138.47,6581656,915647181.56,164.36,61.7,INE069I01010,139.12,,0.64,1.21,1.13,43.19,nan,nan,nan
2024-07-16,143.1,137.01,140.98,138.05,138.26,140.04,5093784,715798152.28,164.36,61.7,INE069I01010,140.52,,-2.08,3.66,-1.42,40.55,nan,nan,nan
2024-07-18,138.2,134.21,138.1,134.72,135.0,138.05,4476651,606210392.94,164.36,61.7,INE069I01010,135.42,,-2.45,2.58,-2.41,36.52,nan,nan,nan
2024-07-19,134.99,129.2,134.5,130.92,130.89,134.72,5496042,721844627.95,164.36,61.7,INE069I01010,131.34,,-2.66,3.11,-2.82,32.55,nan,nan,nan
2024-07-22,134.77,127.8,129.5,130.98,131.0,130.92,5931548,780776128.11,164.36,62.3,INE069I01010,131.63,,1.14,2.89,0.05,32.67,-5.75,nan,nan
