timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,910.0,890.95,899.8,894.45,895.35,890.15,584325,525890603.2,1023,741,INE419U01012,900.0,-0.59,1.74,0.48,nan,nan,nan,nan
2024-06-14,898.75,880.0,895.2,882.0,881.95,894.45,475204,421535427.6,1023,741,INE419U01012,887.06,-1.47,1.90,-1.39,nan,nan,nan,nan
2024-06-18,892.75,877.55,882.0,884.2,883.5,882.0,431080,381313074.75,1023,741,INE419U01012,884.55,0.25,0.97,0.25,nan,nan,nan,nan
2024-06-19,901.0,873.25,890.7,887.65,887.0,884.2,522689,463777887.7,1023,741,INE419U01012,887.29,-0.34,1.50,0.39,nan,nan,nan,nan
2024-06-20,892.4,880.0,889.0,882.25,882.3,887.65,296603,262501316.7,1023,741,INE419U01012,885.03,-0.76,1.15,-0.61,nan,nan,nan,nan
2024-06-21,956.0,896.0,896.0,906.15,906.7,882.25,5237816,4883005983.5,1023,741,INE419U01012,932.26,1.13,5.50,2.71,nan,nan,nan,nan
2024-06-24,930.0,898.0,910.0,917.35,918.2,906.15,750029,686861353.3,1020,741,INE419U01012,915.78,0.81,1.38,1.24,nan,nan,nan,nan
2024-06-25,852.9,828.0,846.2,830.55,829.9,917.35,21164981,17823792650.35,1020,741,INE419U01012,842.14,-1.85,2.69,-9.46,nan,nan,nan,nan
2024-06-26,839.9,823.7,834.0,828.3,827.0,830.55,2234481,1862174426.5,1020,741,INE419U01012,833.38,-0.68,1.40,-0.27,nan,nan,nan,nan
2024-06-27,832.3,811.65,828.3,815.9,815.6,828.3,1249555,1027427098.9,1020,741,INE419U01012,822.23,-1.50,2.01,-1.50,nan,nan,nan,nan
2024-06-28,825.7,815.55,819.0,817.3,817.9,815.9,794204,651421319.4,1020,741,INE419U01012,820.22,-0.21,1.03,0.17,nan,nan,nan,nan
2024-07-01,837.25,818.35,820.0,833.35,832.75,817.3,1364387,1133794436.2,1020,741,INE419U01012,830.99,1.63,0.47,1.96,nan,nan,nan,nan
2024-07-02,839.95,829.3,837.0,830.95,829.35,833.35,1267114,1058383564.75,1020,741,INE419U01012,835.27,-0.72,1.08,-0.29,nan,nan,nan,nan
2024-07-03,836.9,824.15,836.0,825.75,826.0,830.95,476253,394192571.25,1020,741,INE419U01012,827.7,-1.23,1.35,-0.63,nan,nan,nan,nan
2024-07-04,849.4,828.0,829.0,832.35,831.45,825.75,1313065,1099011509.1,1020,741,INE419U01012,836.98,0.40,2.05,0.80,35.28,nan,nan,nan
2024-07-05,834.6,824.1,828.6,826.65,825.7,832.35,648646,537386122.15,1020,741,INE419U01012,828.47,-0.24,0.96,-0.68,33.53,nan,nan,nan
2024-07-08,833.8,820.0,833.8,822.15,821.75,826.65,550059,452554015.75,1020,741,INE419U01012,822.74,-1.40,1.42,-0.54,32.17,nan,nan,nan
2024-07-09,826.25,820.0,822.0,821.45,820.9,822.15,413086,339962386.65,1020,741,INE419U01012,822.98,-0.07,0.58,-0.09,31.95,nan,nan,nan
