timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,1457.7,1437.1,1447.75,1444.15,1445.2,1438.75,4232861,6121713027.6,1697.35,1087.05,INE860A01027,1446.24,-0.25,0.94,0.38,nan,nan,nan,nan
2024-06-14,1446.0,1424.4,1444.15,1431.05,1431.2,1444.15,3065114,4387833488.55,1697.35,1087.05,INE860A01027,1431.54,-0.91,1.04,-0.91,nan,nan,nan,nan
2024-06-18,1439.75,1427.05,1431.05,1437.2,1438.9,1431.05,2223029,3188597282.15,1697.35,1087.05,INE860A01027,1434.35,0.43,0.18,0.43,nan,nan,nan,nan
2024-06-19,1451.9,1430.3,1440.05,1445.85,1444.0,1437.2,3117522,4498364806.75,1697.35,1087.05,INE860A01027,1442.93,0.40,0.42,0.60,nan,nan,nan,nan
2024-06-20,1448.95,1429.55,1448.95,1443.45,1445.0,1445.85,3163919,4553108647.8,1697.35,1087.05,INE860A01027,1439.07,-0.38,0.38,-0.17,nan,nan,nan,nan
2024-06-21,1481.95,1439.2,1462.0,1447.85,1440.45,1443.45,6489262,9446737707.25,1697.35,1087.05,INE860A01027,1455.75,-0.97,2.36,0.30,nan,nan,nan,nan
2024-06-24,1443.95,1426.6,1437.85,1440.85,1439.15,1447.85,1988692,2861353221.7,1697.35,1087.05,INE860A01027,1438.81,0.21,0.22,-0.48,nan,nan,nan,nan
2024-06-25,1450.1,1426.45,1440.95,1447.95,1445.0,1440.85,2079037,2996490413.95,1697.35,1087.05,INE860A01027,1441.29,0.49,0.15,0.49,nan,nan,nan,nan
2024-06-26,1453.3,1438.2,1447.95,1443.7,1442.0,1447.95,1917424,2768732492.45,1697.35,1087.05,INE860A01027,1443.99,-0.29,0.66,-0.29,nan,nan,nan,nan
2024-06-27,1460.55,1423.5,1435.0,1454.9,1455.0,1443.7,6613193,9539710419.25,1697.35,1087.05,INE860A01027,1442.53,1.39,0.39,0.78,nan,nan,nan,nan
2024-06-28,1468.7,1442.0,1468.0,1459.6,1461.0,1454.9,4943575,7182994005.15,1697.35,1087.05,INE860A01027,1453.0,-0.57,0.62,0.32,nan,nan,nan,nan
2024-07-01,1478.6,1455.0,1465.0,1468.85,1467.0,1459.6,3723295,5471339747.75,1697.35,1087.05,INE860A01027,1469.49,0.26,0.66,0.63,nan,nan,nan,nan
2024-07-02,1492.45,1473.0,1475.0,1480.8,1479.0,1468.85,3811366,5652501019.95,1697.35,1087.05,INE860A01027,1483.06,0.39,0.79,0.81,nan,nan,nan,nan
2024-07-03,1489.0,1471.2,1489.0,1481.0,1482.1,1480.8,2070876,3067339631.65,1697.35,1087.05,INE860A01027,1481.18,-0.54,0.54,0.01,nan,nan,nan,nan
2024-07-04,1534.55,1485.0,1485.0,1522.35,1520.0,1481.0,6822557,10368305782.8,1697.35,1087.05,INE860A01027,1519.71,2.52,0.80,2.79,86.74,nan,nan,nan
2024-07-05,1529.25,1505.55,1523.0,1519.4,1517.1,1522.35,3061687,4653881379.7,1697.35,1087.05,INE860A01027,1520.04,-0.24,0.65,-0.19,83.96,nan,nan,nan
2024-07-08,1540.0,1506.2,1528.0,1533.4,1537.95,1519.4,2939620,4471046099.7,1697.35,1087.05,INE860A01027,1520.96,0.35,0.43,0.92,86.22,nan,nan,nan
2024-07-09,1546.3,1525.0,1533.4,1531.1,1530.0,1533.4,2658608,4083958660.0,1697.35,1087.05,INE860A01027,1536.13,-0.15,0.99,-0.15,84.12,nan,nan,nan
2024-07-10,1532.6,1487.85,1531.1,1509.95,1506.1,1531.1,3507096,5277889868.85,1697.35,1087.05,INE860A01027,1504.92,-1.38,1.50,-1.38,67.82,nan,nan,nan
2024-07-11,1534.0,1508.05,1515.0,1511.9,1516.75,1509.95,3304053,5017800547.7,1697.35,1087.05,INE860A01027,1518.68,-0.20,1.46,0.13,68.43,nan,nan,nan
2024-07-12,1566.0,1510.5,1530.0,1560.2,1561.75,1511.9,6430647,9970557888.85,1697.35,1087.05,INE860A01027,1550.48,1.97,0.37,3.19,79.00,nan,nan,nan
2024-07-15,1636.4,1567.4,1580.0,1569.6,1568.0,1560.2,10337489,16507600461.0,1697.35,1095.0,INE860A01027,1596.87,-0.66,4.26,0.60,80.38,nan,nan,nan
2024-07-16,1583.0,1555.0,1565.0,1569.55,1567.4,1569.6,3540661,5558878229.8,1697.35,1095.0,INE860A01027,1570.01,0.29,0.86,-0.00,80.35,nan,nan,nan
2024-07-18,1599.25,1557.0,1558.05,1594.55,1589.0,1569.55,4399468,6966536295.5,1697.35,1095.0,INE860A01027,1583.5,2.34,0.29,1.59,83.66,nan,nan,nan
2024-07-19,1616.45,1588.6,1610.5,1594.55,1592.0,1594.55,5633838,9016906921.05,1697.35,1095.0,INE860A01027,1600.49,-0.99,1.37,0.00,83.66,nan,nan,nan
2024-07-22,1594.5,1570.9,1588.6,1577.1,1579.9,1594.55,2704495,4273948571.75,1697.35,1096.0,INE860A01027,1580.31,-0.72,1.10,-1.09,73.63,52.44,nan,nan
2024-07-23,1600.8,1551.1,1574.0,1598.35,1596.0,1577.1,2907674,4597157706.0,1697.35,1096.0,INE860A01027,1581.04,1.55,0.15,1.35,77.21,52.46,nan,nan
2024-07-23,1600.8,1551.1,1574.0,1598.35,1596.0,1577.1,2907674,4597157706.0,1697.35,1096.0,INE860A01027,1581.04,1.55,0.15,1.35,77.21,51.88,nan,nan
2024-07-24,1598.0,1576.85,1594.0,1583.7,1586.0,1598.35,2484299,3940929243.2,1697.35,1096.0,INE860A01027,1586.33,-0.65,0.90,-0.92,69.65,49.67,nan,nan
2024-07-25,1594.0,1562.85,1570.0,1587.6,1586.5,1583.7,2934731,4653408233.55,1697.35,1096.0,INE860A01027,1585.63,1.12,0.40,0.25,70.48,47.67,nan,nan
2024-07-26,1640.0,1594.0,1602.8,1635.35,1638.8,1587.6,2814159,4573003827.5,1697.35,1096.0,INE860A01027,1625.0,2.03,0.28,3.01,78.29,49.38,nan,nan
2024-07-29,1645.0,1620.0,1640.2,1632.35,1628.05,1635.35,1639491,2670877664.75,1697.35,1096.0,INE860A01027,1629.09,-0.48,0.77,-0.18,76.92,49.91,nan,nan
2024-07-30,1633.0,1618.0,1629.0,1630.25,1630.15,1632.35,1783877,2899966633.6,1697.35,1096.0,INE860A01027,1625.65,0.08,0.17,-0.13,75.91,49.60,nan,nan
2024-07-31,1645.0,1619.2,1621.0,1642.6,1640.85,1630.25,1984986,3250190509.6,1697.35,1096.0,INE860A01027,1637.39,1.33,0.15,0.76,77.75,49.77,50.31,-0.54
2024-08-01,1655.5,1636.1,1640.05,1640.55,1639.5,1642.6,1785188,2934190917.8,1697.35,1096.0,INE860A01027,1643.63,0.03,0.91,-0.12,76.70,49.17,50.08,-0.91
2024-08-02,1639.0,1601.15,1620.05,1609.3,1605.0,1640.55,1692851,2735042921.1,1697.35,1096.0,INE860A01027,1615.64,-0.66,1.85,-1.90,62.78,45.65,49.20,-3.54
2024-08-05,1595.7,1537.0,1575.0,1562.4,1557.95,1609.3,3279717,5119323144.55,1697.35,1125.0,INE860A01027,1560.9,-0.80,2.13,-2.91,48.54,38.63,47.08,-8.45
2024-08-06,1605.0,1563.0,1563.0,1582.75,1583.0,1562.4,2138704,3403707528.9,1697.35,1125.0,INE860A01027,1591.48,1.26,1.41,1.30,53.48,34.31,44.53,-10.21
