timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,16.74,16.0,16.73,16.07,16.08,16.43,731987121,11973277042.18,18.4,7.15,INE669E01016,16.36,-3.95,4.17,-2.19,nan,nan,nan,nan
2024-06-14,16.85,16.06,16.3,16.73,16.79,16.07,1100749585,18057837057.99,18.4,7.15,INE669E01016,16.41,2.64,0.72,4.11,nan,nan,nan,nan
2024-06-18,17.03,16.48,16.99,16.85,16.87,16.73,804338492,13480685455.47,18.4,7.15,INE669E01016,16.76,-0.82,1.07,0.72,nan,nan,nan,nan
2024-06-19,17.39,16.36,17.0,16.92,16.9,16.85,1564573800,26453572414.68,18.4,7.15,INE669E01016,16.91,-0.47,2.78,0.42,nan,nan,nan,nan
2024-06-20,16.97,16.45,16.97,16.53,16.57,16.92,745416817,12395468703.6,18.4,7.15,INE669E01016,16.63,-2.59,2.66,-2.30,nan,nan,nan,nan
2024-06-21,17.28,16.54,16.61,17.14,17.1,16.53,1754964021,30027021209.26,18.4,7.15,INE669E01016,17.11,3.19,0.82,3.69,nan,nan,nan,nan
2024-06-24,17.34,16.86,16.99,17.26,17.28,17.14,946446301,16224204078.95,18.4,7.15,INE669E01016,17.14,1.59,0.46,0.70,nan,nan,nan,nan
2024-06-25,17.5,17.15,17.45,17.19,17.22,17.26,664334923,11496882778.6,18.4,7.15,INE669E01016,17.31,-1.49,1.80,-0.41,nan,nan,nan,nan
2024-06-26,18.47,17.22,17.24,18.02,18.04,17.19,1520073392,27076957409.19,18.47,7.15,INE669E01016,17.81,4.52,2.50,4.83,nan,nan,nan,nan
2024-06-27,18.7,18.0,18.25,18.52,18.7,18.02,1523108632,27826155001.06,18.7,7.15,INE669E01016,18.27,1.48,0.97,2.77,nan,nan,nan,nan
2024-06-28,19.18,17.55,19.1,17.89,17.9,18.52,2014635073,36594845911.69,19.18,7.15,INE669E01016,18.16,-6.34,7.21,-3.40,nan,nan,nan,nan
2024-07-01,18.06,17.4,17.79,17.62,17.65,17.89,877984912,15573895557.75,19.18,7.15,INE669E01016,17.74,-0.96,2.50,-1.51,nan,nan,nan,nan
2024-07-02,17.75,16.96,17.7,17.02,17.05,17.62,826792635,14300909578.77,19.18,7.15,INE669E01016,17.3,-3.84,4.29,-3.41,nan,nan,nan,nan
2024-07-03,17.67,16.91,17.1,17.47,17.42,17.02,860849573,14984882168.97,19.18,7.15,INE669E01016,17.41,2.16,1.14,2.64,nan,nan,nan,nan
2024-07-04,17.74,17.28,17.51,17.48,17.44,17.47,644674371,11287955221.75,19.18,7.15,INE669E01016,17.51,-0.17,1.49,0.06,58.52,nan,nan,nan
2024-07-05,17.48,17.01,17.44,17.09,17.15,17.48,492372970,8498141115.75,19.18,7.15,INE669E01016,17.26,-2.01,2.28,-2.23,52.16,nan,nan,nan
