timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,181.75,174.66,175.7,178.25,178.6,173.61,58082920,10404341973.0,181.75,119.0,INE022Q01020,179.13,1.45,1.96,2.67,nan,nan,nan,nan
2024-06-14,182.55,176.0,179.15,179.67,179.35,178.25,20595360,3705517725.49,182.55,119.0,INE022Q01020,179.92,0.29,1.60,0.80,nan,nan,nan,nan
2024-06-18,187.4,180.46,181.3,185.87,185.85,179.67,37756106,6954943436.13,187.4,119.0,INE022Q01020,184.21,2.52,0.82,3.45,nan,nan,nan,nan
2024-06-19,187.14,180.8,186.65,181.25,181.47,185.87,17822528,3260366424.64,187.4,119.0,INE022Q01020,182.94,-2.89,3.25,-2.49,nan,nan,nan,nan
2024-06-20,183.4,180.24,182.3,180.99,180.88,181.25,9283078,1687572023.77,187.4,119.0,INE022Q01020,181.79,-0.72,1.33,-0.14,nan,nan,nan,nan
2024-06-21,184.3,178.7,180.99,181.76,181.3,180.99,15300459,2784576889.08,187.4,119.0,INE022Q01020,181.99,0.43,1.40,0.43,nan,nan,nan,nan
2024-06-24,184.7,179.2,181.3,182.69,182.75,181.76,11413171,2080540662.01,187.4,119.0,INE022Q01020,182.29,0.77,1.10,0.51,nan,nan,nan,nan
2024-06-25,184.95,177.91,182.99,179.47,179.5,182.69,10883214,1966134081.26,187.4,119.0,INE022Q01020,180.66,-1.92,3.05,-1.76,nan,nan,nan,nan
2024-06-26,180.78,176.8,180.0,178.68,178.4,179.47,11367721,2030992106.38,187.4,119.0,INE022Q01020,178.66,-0.73,1.18,-0.44,nan,nan,nan,nan
2024-06-27,182.73,177.55,178.4,179.83,180.75,178.68,13412203,2419368525.45,187.4,119.0,INE022Q01020,180.39,0.80,1.61,0.64,nan,nan,nan,nan
2024-06-28,183.5,179.64,180.4,180.54,180.69,179.83,11880778,2160067910.74,187.4,119.0,INE022Q01020,181.81,0.08,1.64,0.39,nan,nan,nan,nan
2024-07-01,190.0,181.0,181.99,189.34,189.4,180.54,35117376,6586268058.12,190.0,119.0,INE022Q01020,187.55,4.04,0.35,4.87,nan,nan,nan,nan
2024-07-02,191.2,182.0,191.0,185.05,184.9,189.34,20172441,3751436523.69,191.2,119.0,INE022Q01020,185.97,-3.12,3.32,-2.27,nan,nan,nan,nan
2024-07-03,189.7,184.5,189.0,185.29,185.3,185.05,15575143,2903514508.89,191.2,119.0,INE022Q01020,186.42,-1.96,2.38,0.13,nan,nan,nan,nan
2024-07-04,186.6,182.8,186.19,183.64,183.84,185.29,9952987,1832104232.35,191.2,119.0,INE022Q01020,184.08,-1.37,1.61,-0.89,55.88,nan,nan,nan
2024-07-05,186.18,182.0,183.0,184.35,184.5,183.64,7403916,1363015116.72,191.2,119.0,INE022Q01020,184.09,0.74,0.99,0.39,57.33,nan,nan,nan
2024-07-08,185.49,180.36,185.0,181.65,182.0,184.35,8737011,1594783991.67,191.2,119.0,INE022Q01020,182.53,-1.81,2.11,-1.46,50.53,nan,nan,nan
2024-07-09,185.4,181.65,182.0,183.38,182.9,181.65,10668839,1960520685.64,191.2,119.0,INE022Q01020,183.76,0.76,1.10,0.95,54.27,nan,nan,nan
2024-07-10,182.95,170.47,182.95,176.12,176.0,183.38,31541545,5524860857.02,191.2,119.0,INE022Q01020,175.16,-3.73,3.88,-3.96,40.45,nan,nan,nan
2024-07-11,178.87,176.01,178.2,177.07,177.25,176.12,6941666,1229784340.11,191.2,119.0,INE022Q01020,177.16,-0.63,1.02,0.54,42.52,nan,nan,nan
2024-07-12,180.0,176.66,178.0,177.13,177.13,177.07,7366030,1312338256.84,191.2,119.0,INE022Q01020,178.16,-0.49,1.62,0.03,42.65,nan,nan,nan
2024-07-15,179.15,174.16,178.25,178.22,179.0,177.13,7613554,1345667529.01,191.2,119.0,INE022Q01020,176.75,-0.02,0.52,0.62,45.17,nan,nan,nan
2024-07-16,182.37,177.0,178.95,177.34,177.15,178.22,11969269,2155094766.24,191.2,119.0,INE022Q01020,180.05,-0.90,2.84,-0.49,43.51,nan,nan,nan
2024-07-18,177.09,172.5,177.01,173.56,173.4,177.34,7781301,1353838145.59,191.2,119.0,INE022Q01020,173.99,-1.95,2.03,-2.13,37.18,nan,nan,nan
2024-07-19,173.39,168.5,172.95,169.07,169.06,173.56,10733712,1833927325.29,191.2,119.0,INE022Q01020,170.86,-2.24,2.56,-2.59,31.34,nan,nan,nan
2024-07-22,172.86,166.4,168.0,171.54,172.0,169.07,10982909,1871934732.09,191.2,119.0,INE022Q01020,170.44,2.11,0.77,1.46,37.18,-3.68,nan,nan
2024-07-23,172.35,159.35,172.0,168.24,168.45,171.54,13090043,2192052190.63,191.2,119.0,INE022Q01020,167.46,-2.19,2.44,-1.92,33.13,-4.06,nan,nan
2024-07-23,172.35,159.35,172.0,168.24,168.45,171.54,13090043,2192052190.63,191.2,119.0,INE022Q01020,167.46,-2.19,2.44,-1.92,33.13,-4.31,nan,nan
2024-07-24,175.14,168.21,169.1,174.43,174.7,168.24,11178623,1934247180.12,191.2,119.0,INE022Q01020,173.03,3.15,0.41,3.68,45.95,-3.96,nan,nan
2024-07-25,178.64,171.77,174.5,176.1,176.21,174.43,14791706,2600878288.31,191.2,119.0,INE022Q01020,175.83,0.92,1.44,0.96,48.80,-3.51,nan,nan
2024-07-26,177.95,175.61,177.8,176.66,176.6,176.1,4893874,864849161.2,191.2,119.0,INE022Q01020,176.72,-0.64,0.73,0.32,49.76,-3.07,nan,nan
2024-07-29,190.39,178.05,178.5,187.04,187.37,176.66,40759273,7602543379.59,191.2,121.35,INE022Q01020,186.52,4.78,1.79,5.88,63.42,-1.86,nan,nan
2024-07-30,192.15,187.05,187.95,188.86,188.8,187.04,17126857,3250411953.6,192.15,121.35,INE022Q01020,189.78,0.48,1.74,0.97,65.20,-0.75,nan,nan
2024-07-31,194.3,188.91,188.91,192.11,191.95,188.86,16154061,3105733911.1,194.3,121.35,INE022Q01020,192.26,1.69,1.14,1.72,68.19,0.39,-2.76,3.14
2024-08-01,193.5,187.55,192.9,190.43,190.5,192.11,13153852,2503604789.07,194.3,121.35,INE022Q01020,190.33,-1.28,1.61,-0.87,65.08,1.14,-1.98,3.12
2024-08-02,197.8,184.3,186.0,195.32,195.1,190.43,33779275,6588863167.23,197.8,121.35,INE022Q01020,195.06,5.01,1.27,2.57,69.45,2.11,-1.16,3.27
2024-08-05,197.29,185.32,192.89,188.31,188.0,195.32,33410920,6391482065.06,197.8,121.35,INE022Q01020,191.3,-2.37,4.77,-3.59,58.21,2.28,-0.47,2.75
2024-08-06,196.64,189.27,190.1,189.91,190.6,188.31,18912678,3648783205.9,197.8,121.35,INE022Q01020,192.93,-0.10,3.54,0.85,59.81,2.52,0.13,2.39
2024-08-07,199.75,191.05,193.51,197.87,199.4,189.91,16334341,3192281998.48,199.75,121.35,INE022Q01020,195.43,2.25,0.95,4.19,66.64,3.31,0.76,2.55
2024-08-08,200.9,193.08,200.25,193.62,193.8,197.87,16338322,3220814655.63,200.9,121.35,INE022Q01020,197.13,-3.31,3.76,-2.15,60.71,3.56,1.32,2.24
2024-08-09,197.7,192.39,196.25,192.67,192.98,193.62,7520604,1463374262.75,200.9,121.35,INE022Q01020,194.58,-1.82,2.61,-0.49,59.43,3.63,1.78,1.85
2024-08-12,195.62,189.01,190.0,194.44,193.9,192.67,9168119,1774572101.32,200.9,121.35,INE022Q01020,193.56,2.34,0.61,0.92,61.07,3.79,2.19,1.61
2024-08-13,195.0,187.05,195.0,187.96,187.65,194.44,8495576,1614626161.35,200.9,121.35,INE022Q01020,190.05,-3.61,3.75,-3.33,52.68,3.36,2.42,0.94
2024-08-14,188.6,184.41,188.6,185.81,186.15,187.96,6590045,1228017467.05,200.9,121.35,INE022Q01020,186.34,-1.48,1.50,-1.14,50.21,2.80,2.50,0.31
2024-08-16,195.5,187.0,187.0,194.82,195.0,185.81,14692697,2831978377.8,200.9,121.35,INE022Q01020,192.75,4.18,0.35,4.85,58.90,3.06,2.61,0.45
2024-08-19,198.17,195.01,196.4,196.32,196.5,194.82,6305026,1239082180.86,200.9,121.35,INE022Q01020,196.52,-0.04,0.94,0.77,60.14,3.34,2.76,0.59
2024-08-20,197.25,193.42,196.89,195.32,195.18,196.32,3969340,774977588.98,200.9,121.35,INE022Q01020,195.24,-0.80,0.99,-0.51,58.86,3.45,2.90,0.55
