timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,170.2,168.05,170.0,168.95,169.0,168.84,17279580,2918720651.21,196.8,85.5,INE242A01010,168.91,-0.62,0.74,0.07,nan,nan,nan,nan
2024-06-14,172.1,169.16,169.2,170.36,169.8,168.95,22000973,3759210958.0,196.8,85.5,INE242A01010,170.87,0.69,1.02,0.83,nan,nan,nan,nan
2024-06-18,171.9,169.0,171.9,169.59,170.0,170.36,17723479,3009345589.51,196.8,85.5,INE242A01010,169.79,-1.34,1.36,-0.45,nan,nan,nan,nan
2024-06-19,170.3,166.05,170.0,166.75,166.67,169.59,18053095,3023363733.37,196.8,85.5,INE242A01010,167.47,-1.91,2.13,-1.67,nan,nan,nan,nan
2024-06-20,169.72,166.1,167.35,168.97,169.05,166.75,15794096,2660586060.9,196.8,85.5,INE242A01010,168.45,0.97,0.44,1.33,nan,nan,nan,nan
2024-06-21,169.5,166.26,169.19,166.62,166.8,168.97,19269862,3228321009.22,196.8,85.5,INE242A01010,167.53,-1.52,1.73,-1.39,nan,nan,nan,nan
2024-06-24,167.69,164.71,166.62,166.3,166.39,166.62,13445384,2234144741.6,196.8,85.5,INE242A01010,166.16,-0.19,0.84,-0.19,nan,nan,nan,nan
2024-06-25,167.14,164.05,166.98,164.37,164.45,166.3,14775324,2439681191.24,196.8,85.5,INE242A01010,165.12,-1.56,1.69,-1.16,nan,nan,nan,nan
2024-06-26,165.24,164.0,165.15,164.27,164.3,164.37,10441389,1717614077.17,196.8,85.5,INE242A01010,164.5,-0.53,0.59,-0.06,nan,nan,nan,nan
2024-06-27,164.88,162.18,164.5,163.58,163.9,164.27,24654739,4028204341.11,196.8,85.5,INE242A01010,163.38,-0.56,0.79,-0.42,nan,nan,nan,nan
2024-06-28,166.64,163.8,163.9,165.63,165.35,163.58,15335579,2541680348.67,196.8,85.5,INE242A01010,165.74,1.06,0.61,1.25,nan,nan,nan,nan
2024-07-01,167.95,165.62,166.0,167.66,167.8,165.63,19014104,3177724066.33,196.8,85.5,INE242A01010,167.12,1.00,0.17,1.23,nan,nan,nan,nan
2024-07-02,169.71,167.01,168.0,168.3,168.4,167.66,31012683,5233992913.02,196.8,85.5,INE242A01010,168.77,0.18,0.84,0.38,nan,nan,nan,nan
2024-07-03,169.8,167.75,169.4,169.31,169.3,168.3,20184032,3403965427.87,196.8,85.5,INE242A01010,168.65,-0.05,0.29,0.60,nan,nan,nan,nan
2024-07-04,171.3,169.18,170.1,170.17,170.4,169.31,26156046,4451078875.67,196.8,85.5,INE242A01010,170.17,0.04,0.66,0.51,60.43,nan,nan,nan
2024-07-05,171.94,169.71,170.9,171.28,171.4,170.17,26431264,4522771035.81,196.8,85.5,INE242A01010,171.11,0.22,0.39,0.65,64.09,nan,nan,nan
2024-07-08,172.81,169.75,172.21,170.07,170.34,171.28,30322381,5188358329.16,196.8,85.5,INE242A01010,171.11,-1.24,1.61,-0.71,57.82,nan,nan,nan
2024-07-09,172.7,170.5,171.29,171.67,171.8,170.07,28600182,4907002362.7,196.8,85.5,INE242A01010,171.57,0.22,0.60,0.94,62.98,nan,nan,nan
2024-07-10,172.49,167.2,172.3,171.9,172.15,171.67,34673112,5916569762.45,196.8,85.5,INE242A01010,170.64,-0.23,0.34,0.13,63.66,nan,nan,nan
2024-07-11,175.8,172.25,172.9,174.44,174.5,171.9,55143055,9600270072.74,196.8,85.5,INE242A01010,174.1,0.89,0.78,1.48,70.24,nan,nan,nan
2024-07-12,169.25,166.11,168.49,167.04,167.23,174.44,35355791,5931739572.36,196.8,85.5,INE242A01010,167.77,-0.86,1.32,-4.24,44.80,nan,nan,nan
2024-07-15,170.32,166.4,167.5,169.7,169.65,167.04,32915517,5559527052.67,196.8,85.5,INE242A01010,168.9,1.31,0.37,1.59,51.59,nan,nan,nan
2024-07-16,172.3,169.25,169.5,170.74,170.7,169.7,33837471,5794958038.86,196.8,85.5,INE242A01010,171.26,0.73,0.91,0.61,53.97,nan,nan,nan
2024-07-18,171.66,168.66,170.0,169.61,169.51,170.74,22673600,3851394571.74,196.8,85.5,INE242A01010,169.86,-0.23,1.21,-0.66,51.03,nan,nan,nan
2024-07-19,170.9,165.15,170.9,165.49,165.44,169.61,26361146,4402164773.77,196.8,85.5,INE242A01010,166.99,-3.17,3.27,-2.43,42.04,nan,nan,nan
