timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,178.95,174.55,178.7,175.13,175.39,177.69,31750295,5592122454.2,200.0,31.95,INE053F01010,176.13,-2.00,2.18,-1.44,nan,nan,nan,nan
2024-06-14,176.6,173.2,175.7,174.8,174.85,175.13,28398761,4972004486.45,200.0,31.95,INE053F01010,175.08,-0.51,1.03,-0.19,nan,nan,nan,nan
2024-06-18,178.6,175.05,176.0,175.71,175.7,174.8,38754538,6837292039.07,200.0,31.95,INE053F01010,176.43,-0.16,1.64,0.52,nan,nan,nan,nan
2024-06-19,176.19,171.33,176.18,173.22,173.09,175.71,26756319,4634318771.74,200.0,31.95,INE053F01010,173.2,-1.68,1.71,-1.42,nan,nan,nan,nan
2024-06-20,174.18,171.7,173.19,172.3,172.5,173.22,17539484,3027841678.56,200.0,31.95,INE053F01010,172.63,-0.51,1.09,-0.53,nan,nan,nan,nan
2024-06-21,180.5,171.6,172.4,176.32,176.6,172.3,96727451,17164400904.14,200.0,31.95,INE053F01010,177.45,2.27,2.37,2.33,nan,nan,nan,nan
2024-06-24,180.99,174.33,176.0,176.87,176.9,176.32,50588329,9019300809.54,200.0,31.95,INE053F01010,178.29,0.49,2.33,0.31,nan,nan,nan,nan
2024-06-25,178.6,175.08,177.6,175.61,175.69,176.87,23352075,4119013366.12,200.0,31.95,INE053F01010,176.39,-1.12,1.70,-0.71,nan,nan,nan,nan
2024-06-26,177.25,174.2,175.69,175.04,175.19,175.61,22765762,4000144601.34,200.0,31.95,INE053F01010,175.71,-0.37,1.26,-0.32,nan,nan,nan,nan
2024-06-27,177.8,172.5,175.5,173.17,173.4,175.04,27461491,4812650501.78,200.0,31.95,INE053F01010,175.25,-1.33,2.67,-1.07,nan,nan,nan,nan
2024-06-28,175.95,173.0,174.2,173.81,173.86,173.17,23860432,4155364326.72,200.0,31.95,INE053F01010,174.15,-0.22,1.23,0.37,nan,nan,nan,nan
2024-07-01,173.79,171.5,173.79,171.76,172.2,173.81,26142598,4501930737.61,200.0,32.35,INE053F01010,172.21,-1.17,1.18,-1.18,nan,nan,nan,nan
2024-07-02,173.25,170.01,172.5,171.97,172.3,171.76,19310733,3320941239.71,200.0,32.35,INE053F01010,171.97,-0.31,0.74,0.12,nan,nan,nan,nan
2024-07-03,178.0,172.51,172.8,176.48,176.59,171.97,34748569,6071601191.41,200.0,32.35,INE053F01010,174.73,2.13,0.86,2.62,nan,nan,nan,nan
2024-07-04,180.2,176.5,177.85,177.72,177.69,176.48,35385014,6306659333.37,200.0,32.35,INE053F01010,178.23,-0.07,1.40,0.70,60.70,nan,nan,nan
2024-07-05,191.5,178.1,178.56,188.23,187.9,177.72,224563674,41832825522.49,200.0,32.35,INE053F01010,186.28,5.42,1.74,5.91,77.90,nan,nan,nan
2024-07-08,206.0,193.5,193.5,202.02,202.5,188.23,260960455,52618948858.94,206.0,32.35,INE053F01010,201.64,4.40,1.97,7.33,86.35,nan,nan,nan
