timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP
2024-07-30,413.5,388.2,392.0,409.6,409.65,389.1,8406937,3396465938.0,413.5,236.75,404.01
2024-07-31,415.4,396.75,411.0,405.0,405.55,409.6,3513268,1423050643.05,415.4,236.75,405.05
2024-08-01,409.05,391.0,408.0,392.0,393.0,405.0,1658659,657316201.45,415.4,236.75,396.29
2024-08-02,392.3,379.0,385.0,388.4,389.0,392.0,1438239,557312011.0,415.4,236.75,387.5
2024-08-05,373.7,355.2,362.05,358.25,360.0,388.4,3974160,1442042077.25,415.4,236.75,362.85
2024-08-06,374.9,352.0,368.0,353.45,354.65,358.25,2057998,752482766.5,415.4,236.75,365.64
2024-08-07,375.3,353.45,366.0,372.15,374.8,353.45,1387746,505101680.5,415.4,236.75,363.97
2024-08-08,374.8,361.2,374.8,362.35,363.8,372.15,730648,269278931.65,415.4,236.75,368.55
2024-08-09,373.95,364.5,368.0,367.15,368.5,362.35,838132,309176387.8,415.4,236.75,368.89
2024-08-12,368.0,354.0,366.0,361.45,362.6,367.15,1603203,577134881.2,415.4,236.75,359.99
2024-08-13,365.7,345.05,362.0,347.05,347.0,361.45,1305146,461843915.8,415.4,236.75,353.86
2024-08-14,354.95,339.45,350.0,340.7,342.0,347.05,1258714,431637314.15,415.4,236.75,342.92
2024-08-16,356.4,338.2,350.0,340.2,341.0,340.7,2766454,954824622.05,415.4,236.75,345.14
2024-08-19,349.8,338.5,343.0,342.35,342.85,340.2,1069622,365843935.2,415.4,236.75,342.03
2024-08-20,347.0,330.1,344.35,332.1,334.95,342.35,2055771,687146862.85,415.4,236.75,334.25
2024-08-21,333.6,329.55,329.65,331.85,332.15,332.1,1052356,349079512.45,415.4,236.75,331.71
2024-08-22,345.6,334.0,334.0,343.35,341.75,331.85,1973136,671143345.7,415.4,236.75,340.14
2024-08-23,346.25,340.0,344.0,341.4,340.4,343.35,771416,264121777.7,415.4,236.75,342.39
2024-08-26,343.2,333.5,341.4,334.1,334.3,341.4,854014,286589856.25,415.4,236.75,335.58
2024-08-27,341.9,332.55,336.7,339.4,339.95,334.1,748878,252980825.1,415.4,236.75,337.81
2024-08-28,343.0,334.9,342.05,335.45,335.1,339.4,623545,210506970.05,415.4,236.75,337.6
