high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,timestamp,VWAP
227.39,223.31,225.0,224.15,224.0,225.67,2203206,495299328.37,286.55,192,2024-07-22,224.81
225.43,219.6,225.43,223.85,223.24,224.15,2350073,523342323.9,286.55,192,2024-07-23,222.69
229.9,224.07,224.09,227.77,229.5,223.85,1928593,436404672.75,286.55,192,2024-07-24,226.28
235.99,228.87,229.9,231.43,231.0,227.77,5486341,1277798340.96,286.55,192,2024-07-25,232.91
230.81,226.72,230.5,227.91,227.9,231.43,2670397,610640674.37,286.55,192,2024-07-26,228.67
245.0,228.71,228.71,243.22,243.45,227.91,10734306,2565709916.94,286.55,192,2024-07-29,239.02
244.4,238.2,244.0,238.84,238.4,243.22,2493313,598693911.28,286.55,192,2024-07-30,240.12
243.25,235.5,239.5,237.67,237.5,238.84,2506112,600119090.75,286.55,192,2024-07-31,239.46
240.05,235.6,238.9,236.1,236.18,237.67,2070057,490074279.68,286.55,192,2024-08-01,236.74
234.99,230.42,234.0,230.75,231.0,236.1,1598833,371701089.5,286.55,192,2024-08-02,232.48
228.0,219.65,227.05,221.15,220.95,230.75,2359911,523712955.51,286.55,192,2024-08-05,221.92
226.0,217.2,223.23,217.46,218.4,221.15,2777517,609906433.14,286.55,192,2024-08-06,219.59
221.0,216.0,220.7,219.42,219.79,217.46,1672019,364930257.83,286.55,192,2024-08-07,218.26
217.85,215.57,216.4,216.19,216.01,219.42,1771932,383361159.21,286.55,192,2024-08-08,216.35
228.8,218.01,218.01,226.86,225.9,216.19,2509529,561481504.73,286.55,192,2024-08-09,223.74
224.58,220.3,224.58,220.7,221.2,226.86,1662416,368407794.52,286.55,192,2024-08-12,221.61
221.69,216.0,221.5,216.1,216.2,220.7,2745625,597097933.97,286.55,192,2024-08-13,217.47
219.0,214.0,219.0,215.25,215.2,216.1,1406624,303053034.97,286.55,192,2024-08-14,215.45
219.9,214.9,217.37,215.14,216.0,215.25,2653088,572583930.48,286.55,192,2024-08-16,215.82
219.9,216.45,216.45,219.17,219.12,215.14,1227314,268632620.63,286.55,192,2024-08-19,218.88
221.13,218.0,219.99,218.23,218.18,219.17,2891714,633047957.77,286.55,192,2024-08-20,218.92
