timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,68.1,66.38,67.9,66.68,66.7,67.27,12542601,841683809.83,73.5,26.8,INE457A01014,67.11,-1.80,2.13,-0.88,nan,nan,nan,nan
2024-06-14,67.2,66.15,66.8,66.33,66.3,66.68,12515577,833337923.13,73.5,26.8,INE457A01014,66.58,-0.70,1.31,-0.52,nan,nan,nan,nan
2024-06-18,66.7,65.54,66.7,65.63,65.68,66.33,13988696,922611453.85,73.5,26.8,INE457A01014,65.95,-1.60,1.63,-1.06,nan,nan,nan,nan
2024-06-19,67.45,64.25,65.75,65.45,65.5,65.63,23220507,1528775657.93,73.5,26.8,INE457A01014,65.84,-0.46,3.06,-0.27,nan,nan,nan,nan
2024-06-20,67.4,65.69,65.89,66.28,66.29,65.45,24638106,1645463840.14,73.5,26.8,INE457A01014,66.79,0.59,1.69,1.27,nan,nan,nan,nan
2024-06-21,66.6,64.7,66.3,65.17,65.25,66.28,17738446,1159439911.33,73.5,26.8,INE457A01014,65.36,-1.70,2.19,-1.67,nan,nan,nan,nan
2024-06-24,66.2,64.5,65.0,66.01,66.05,65.17,17137251,1124970872.79,73.5,26.8,INE457A01014,65.64,1.55,0.29,1.29,nan,nan,nan,nan
2024-06-25,66.3,64.7,66.18,64.98,64.75,66.01,10527277,688745268.2,73.5,26.8,INE457A01014,65.42,-1.81,2.03,-1.56,nan,nan,nan,nan
2024-06-26,65.81,64.45,65.1,64.66,64.69,64.98,14430493,939576346.34,73.5,26.8,INE457A01014,65.11,-0.68,1.78,-0.49,nan,nan,nan,nan
2024-06-27,65.3,63.82,64.6,65.08,65.09,64.66,11607142,749735281.25,73.5,26.8,INE457A01014,64.59,0.74,0.34,0.65,nan,nan,nan,nan
2024-06-28,66.4,64.51,64.99,64.81,64.74,65.08,14991521,980140961.47,73.5,26.8,INE457A01014,65.38,-0.28,2.45,-0.41,nan,nan,nan,nan
2024-07-01,65.28,64.2,64.9,64.32,64.34,64.81,11139582,718818144.6,73.5,29.1,INE457A01014,64.53,-0.89,1.49,-0.76,nan,nan,nan,nan
2024-07-02,64.65,63.26,64.32,63.61,63.5,64.32,8114496,519347458.85,73.5,29.1,INE457A01014,64.0,-1.10,1.63,-1.10,nan,nan,nan,nan
2024-07-03,64.24,63.75,63.99,63.84,63.79,63.61,6399450,409290336.73,73.5,29.1,INE457A01014,63.96,-0.23,0.63,0.36,nan,nan,nan,nan
2024-07-04,64.23,63.5,64.09,63.58,63.6,63.84,11244425,717627523.51,73.5,29.1,INE457A01014,63.82,-0.80,1.02,-0.41,28.90,nan,nan,nan
2024-07-05,64.2,63.4,63.57,63.77,63.94,63.58,10493789,669565349.3,73.5,29.1,INE457A01014,63.81,0.31,0.67,0.30,31.86,nan,nan,nan
2024-07-08,64.0,63.05,63.81,63.2,63.28,63.77,8702792,551819504.48,73.5,29.85,INE457A01014,63.41,-0.96,1.27,-0.89,28.08,nan,nan,nan
2024-07-09,66.85,63.05,63.22,64.78,64.94,63.2,35707519,2336379330.51,73.5,29.85,INE457A01014,65.43,2.47,3.20,2.50,46.87,nan,nan,nan
2024-07-10,65.38,63.05,65.0,63.73,63.67,64.78,13562473,866428979.31,73.5,29.85,INE457A01014,63.88,-1.95,2.59,-1.62,39.49,nan,nan,nan
2024-07-11,64.4,63.15,63.9,63.44,63.49,63.73,10091064,642499234.17,73.5,29.85,INE457A01014,63.67,-0.72,1.51,-0.46,37.72,nan,nan,nan
2024-07-12,65.97,63.52,63.67,65.08,65.2,63.44,21807937,1417989648.95,73.5,29.85,INE457A01014,65.02,2.21,1.37,2.59,51.06,nan,nan,nan
2024-07-15,69.7,64.8,65.75,68.75,68.7,65.08,116186128,7906360480.88,73.5,30.75,INE457A01014,68.05,4.56,1.38,5.64,67.72,nan,nan,nan
2024-07-16,70.8,67.41,69.3,67.69,67.8,68.75,49596296,3417261329.0,73.5,30.75,INE457A01014,68.9,-2.32,4.59,-1.54,61.23,nan,nan,nan
2024-07-18,69.9,66.7,67.98,67.19,67.54,67.69,45368604,3095623093.33,73.5,30.75,INE457A01014,68.23,-1.16,4.03,-0.74,58.39,nan,nan,nan
2024-07-19,67.69,65.5,67.1,65.65,65.65,67.19,21188633,1406015533.54,73.5,30.75,INE457A01014,66.36,-2.16,3.11,-2.29,50.61,nan,nan,nan
2024-07-22,66.82,64.98,65.65,66.57,66.72,65.65,15885190,1051265397.56,73.5,32.7,INE457A01014,66.18,1.40,0.38,1.40,54.51,0.58,nan,nan
2024-07-23,67.24,62.93,67.05,65.19,65.39,66.57,18174540,1186635330.59,73.5,32.7,INE457A01014,65.29,-2.77,3.14,-2.07,48.34,0.49,nan,nan
2024-07-23,67.24,62.93,67.05,65.19,65.39,66.57,18174540,1186635330.59,73.5,32.7,INE457A01014,65.29,-2.77,3.14,-2.07,48.34,0.41,nan,nan
2024-07-24,67.83,64.66,65.1,67.19,67.11,65.19,23373590,1557881271.41,73.5,32.7,INE457A01014,66.65,3.21,0.95,3.07,56.60,0.50,nan,nan
2024-07-25,67.59,66.05,66.5,66.63,66.55,67.19,12331832,823900126.52,73.5,32.7,INE457A01014,66.81,0.20,1.44,-0.83,53.99,0.53,nan,nan
2024-07-26,68.9,66.22,66.63,67.73,67.6,66.63,28877039,1950305015.89,73.5,32.7,INE457A01014,67.54,1.65,1.73,1.65,58.07,0.62,nan,nan
2024-07-29,70.77,68.0,68.9,68.09,68.16,67.73,31136013,2153496714.26,73.5,32.7,INE457A01014,69.16,-1.18,3.94,0.53,59.34,0.72,nan,nan
2024-07-30,68.48,67.32,68.09,67.67,67.9,68.09,11918045,810167014.85,73.5,32.7,INE457A01014,67.98,-0.62,1.20,-0.62,57.17,0.76,nan,nan
2024-07-31,67.89,66.83,67.8,66.94,66.95,67.67,8905944,598024409.47,73.5,32.7,INE457A01014,67.15,-1.27,1.42,-1.08,53.50,0.72,0.59,0.13
2024-08-01,67.5,65.8,67.01,66.11,66.17,66.94,9827983,654951843.74,73.5,32.7,INE457A01014,66.64,-1.34,2.10,-1.24,49.60,0.62,0.60,0.02
2024-08-02,66.58,64.8,64.82,65.51,65.7,66.11,12005955,787480210.84,73.5,32.7,INE457A01014,65.59,1.06,1.63,-0.91,46.93,0.48,0.57,-0.09
2024-08-05,64.16,62.0,63.69,62.17,62.2,65.51,21119418,1327833113.16,73.5,33.7,INE457A01014,62.87,-2.39,3.20,-5.10,35.50,0.10,0.48,-0.38
2024-08-06,64.15,61.01,63.16,61.5,61.55,62.17,13352695,836374944.73,73.5,33.7,INE457A01014,62.64,-2.63,4.31,-1.08,33.73,-0.25,0.33,-0.58
2024-08-07,63.15,61.9,62.48,62.86,63.04,61.5,9205822,575006152.23,73.5,33.7,INE457A01014,62.46,0.61,0.46,2.21,40.25,-0.41,0.18,-0.60
2024-08-08,63.48,61.9,62.8,62.09,62.2,62.86,11428507,716182464.62,73.5,33.7,INE457A01014,62.67,-1.13,2.24,-1.22,37.97,-0.60,0.03,-0.63
2024-08-09,62.99,61.6,62.85,61.92,62.0,62.09,12044190,748979963.15,73.5,33.7,INE457A01014,62.19,-1.48,1.73,-0.27,37.47,-0.75,-0.13,-0.62
2024-08-12,61.9,61.0,61.9,61.12,61.19,61.92,9697154,594758092.36,73.5,36.2,INE457A01014,61.33,-1.26,1.28,-1.29,35.10,-0.93,-0.29,-0.64
2024-08-13,61.65,60.0,61.15,60.13,60.6,61.12,10213321,621634068.82,73.5,36.2,INE457A01014,60.87,-1.67,2.53,-1.62,32.38,-1.13,-0.46,-0.67
2024-08-14,61.08,59.71,60.35,60.55,60.64,60.13,11214815,678856653.45,73.5,36.2,INE457A01014,60.53,0.33,0.88,0.70,34.70,-1.25,-0.61,-0.63
2024-08-16,61.46,60.81,61.25,61.17,61.25,60.55,5820935,355593648.69,73.5,36.2,INE457A01014,61.09,-0.13,0.47,1.02,38.07,-1.27,-0.75,-0.53
2024-08-19,62.75,61.3,61.3,62.5,62.58,61.17,9214854,573599894.5,73.5,37.75,INE457A01014,62.25,1.96,0.40,2.17,44.66,-1.17,-0.83,-0.34
2024-08-20,63.55,62.35,62.99,63.15,63.25,62.5,7442078,467639554.69,73.5,37.75,INE457A01014,62.84,0.25,0.63,1.04,47.60,-1.03,-0.87,-0.16
2024-08-21,63.64,62.73,63.64,63.05,63.1,63.15,7849929,495871014.9,73.5,37.75,INE457A01014,63.17,-0.93,0.94,-0.16,47.19,-0.91,-0.88,-0.03
