timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,187.55,184.01,185.7,186.56,186.3,185.02,9905480,1841974149.12,206.3,80.65,INE139A01034,185.96,0.46,0.53,0.83,nan,nan,nan,nan
2024-06-14,195.2,188.65,189.16,191.91,192.0,186.56,31594777,6077929940.07,206.3,80.65,INE139A01034,192.37,1.45,1.71,2.87,nan,nan,nan,nan
2024-06-18,192.75,187.47,192.38,188.13,188.5,191.91,11487387,2176604585.8,206.3,80.65,INE139A01034,189.48,-2.21,2.46,-1.97,nan,nan,nan,nan
2024-06-19,189.19,183.63,189.12,184.88,185.2,188.13,10210946,1897047731.87,206.3,80.65,INE139A01034,185.79,-2.24,2.33,-1.73,nan,nan,nan,nan
2024-06-20,192.79,183.22,185.0,191.29,191.7,184.88,15825419,3005594232.38,206.3,80.65,INE139A01034,189.92,3.40,0.78,3.47,nan,nan,nan,nan
2024-06-21,196.75,191.0,192.34,193.98,193.8,191.29,19726412,3831103048.25,206.3,80.65,INE139A01034,194.21,0.85,1.43,1.41,nan,nan,nan,nan
2024-06-24,192.4,184.95,192.4,189.98,190.0,193.98,17724341,3338710216.35,206.3,80.65,INE139A01034,188.37,-1.26,1.27,-2.06,nan,nan,nan,nan
2024-06-25,192.25,186.0,190.84,188.47,188.39,189.98,10947092,2064511750.43,206.3,80.65,INE139A01034,188.59,-1.24,2.01,-0.79,nan,nan,nan,nan
2024-06-26,188.74,185.56,187.97,186.9,186.5,188.47,11007493,2056561368.2,206.3,80.65,INE139A01034,186.83,-0.57,0.98,-0.83,nan,nan,nan,nan
2024-06-27,187.75,180.76,184.9,185.1,185.69,186.9,17320455,3190015441.93,206.3,80.65,INE139A01034,184.18,0.11,1.43,-0.96,nan,nan,nan,nan
2024-06-28,189.0,184.68,185.95,187.11,187.21,185.1,11324296,2119612447.12,206.3,80.65,INE139A01034,187.17,0.62,1.01,1.09,nan,nan,nan,nan
2024-07-01,192.3,187.41,188.2,191.32,191.6,187.11,12393036,2363885753.73,206.3,82.3,INE139A01034,190.74,1.66,0.51,2.25,nan,nan,nan,nan
2024-07-02,195.5,189.22,192.3,192.73,192.35,191.32,13857919,2669386878.93,206.3,82.3,INE139A01034,192.63,0.22,1.44,0.74,nan,nan,nan,nan
2024-07-03,194.35,191.7,193.5,193.74,193.48,192.73,6941714,1340954434.49,206.3,82.3,INE139A01034,193.17,0.12,0.31,0.52,nan,nan,nan,nan
2024-07-04,198.0,193.85,195.8,194.58,195.0,193.74,11398241,2230579768.36,206.3,82.3,INE139A01034,195.7,-0.62,1.76,0.43,63.19,nan,nan,nan
2024-07-05,199.6,193.69,195.0,199.02,199.0,194.58,15659265,3099213643.68,206.3,82.3,INE139A01034,197.92,2.06,0.29,2.28,69.60,nan,nan,nan
2024-07-08,207.5,198.63,199.8,206.31,207.3,199.02,25666049,5213081517.31,207.5,82.65,INE139A01034,203.11,3.26,0.58,3.66,76.75,nan,nan,nan
2024-07-09,209.0,201.72,209.0,203.93,203.0,206.31,17938039,3671194647.15,209.0,82.65,INE139A01034,204.66,-2.43,2.49,-1.15,70.89,nan,nan,nan
