timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,104.07,101.87,103.6,102.3,102.35,103.17,42052456,4315468858.36,118.0,43.95,INE848E01016,102.62,-1.25,1.73,-0.84,nan,nan,nan,nan
2024-06-14,104.3,101.6,102.56,102.59,102.45,102.3,47910765,4927134773.58,118.0,43.95,INE848E01016,102.84,0.03,1.67,0.28,nan,nan,nan,nan
2024-06-18,103.3,101.24,103.15,101.7,101.85,102.59,35331787,3611144500.41,118.0,44.85,INE848E01016,102.21,-1.41,1.57,-0.87,nan,nan,nan,nan
2024-06-19,102.15,99.11,102.0,100.1,100.19,101.7,39253925,3939853585.62,118.0,44.85,INE848E01016,100.37,-1.86,2.05,-1.57,nan,nan,nan,nan
2024-06-20,101.78,99.7,100.1,100.29,100.25,100.1,41974488,4221540050.35,118.0,44.85,INE848E01016,100.57,0.19,1.49,0.19,nan,nan,nan,nan
2024-06-21,101.7,99.95,100.3,100.76,100.75,100.29,47341955,4763018989.62,118.0,44.85,INE848E01016,100.61,0.46,0.93,0.47,nan,nan,nan,nan
2024-06-24,101.2,99.51,99.71,99.81,99.75,100.76,49149212,4926596849.82,118.0,44.85,INE848E01016,100.24,0.10,1.39,-0.94,nan,nan,nan,nan
2024-06-25,100.6,99.51,100.04,99.88,99.78,99.81,23795528,2378093158.58,118.0,44.85,INE848E01016,99.94,-0.16,0.72,0.07,nan,nan,nan,nan
2024-06-26,100.54,99.1,99.99,99.7,99.35,99.88,31850737,3180082711.15,118.0,44.85,INE848E01016,99.84,-0.29,0.84,-0.18,nan,nan,nan,nan
2024-06-27,100.3,98.01,99.7,98.58,98.96,99.7,38962271,3860169040.13,118.0,44.85,INE848E01016,99.07,-1.12,1.74,-1.12,nan,nan,nan,nan
2024-06-28,102.83,98.69,99.0,100.7,100.54,98.58,53577299,5408967283.47,118.0,44.85,INE848E01016,100.96,1.72,2.12,2.15,nan,nan,nan,nan
2024-07-01,101.25,99.81,101.0,100.1,100.08,100.7,20949761,2099578521.24,118.0,44.85,INE848E01016,100.22,-0.89,1.15,-0.60,nan,nan,nan,nan
2024-07-02,100.68,98.71,100.35,99.0,99.0,100.1,29096085,2896617084.98,118.0,44.85,INE848E01016,99.55,-1.35,1.70,-1.10,nan,nan,nan,nan
2024-07-03,101.94,99.26,99.45,101.46,101.3,99.0,62471696,6302489729.46,118.0,44.85,INE848E01016,100.89,2.02,0.47,2.48,nan,nan,nan,nan
2024-07-04,104.34,101.8,102.0,103.6,102.98,101.46,81824578,8444095886.29,118.0,44.85,INE848E01016,103.2,1.57,0.71,2.11,62.35,nan,nan,nan
2024-07-05,105.3,102.94,103.4,103.82,103.65,103.6,74213267,7717696152.38,118.0,44.85,INE848E01016,103.99,0.41,1.43,0.21,63.18,nan,nan,nan
2024-07-08,106.7,103.25,104.5,103.62,103.49,103.82,69792078,7318620189.59,118.0,44.85,INE848E01016,104.86,-0.84,2.97,-0.19,61.84,nan,nan,nan
2024-07-09,107.49,103.7,104.18,106.05,106.3,103.62,98880924,10496419357.91,118.0,44.85,INE848E01016,106.15,1.79,1.36,2.35,70.17,nan,nan,nan
2024-07-10,109.6,102.06,106.79,108.82,108.95,106.05,134958277,14437828637.75,118.0,44.85,INE848E01016,106.98,1.90,0.72,2.61,76.47,nan,nan,nan
2024-07-11,114.49,109.0,109.44,114.07,114.21,108.82,178198788,19911707583.83,118.0,44.85,INE848E01016,111.74,4.23,0.37,4.82,83.56,nan,nan,nan
2024-07-12,116.95,112.55,115.0,113.02,112.81,114.07,158615919,18226385478.23,118.0,44.85,INE848E01016,114.91,-1.72,3.48,-0.92,78.47,nan,nan,nan
2024-07-15,118.4,111.65,113.8,115.81,115.94,113.02,138487161,16028569219.63,118.4,45.35,INE848E01016,115.74,1.77,2.24,2.47,81.67,nan,nan,nan
2024-07-16,117.3,113.0,116.21,113.21,113.68,115.81,60399835,6936789042.25,118.4,45.35,INE848E01016,114.85,-2.58,3.61,-2.25,71.07,nan,nan,nan
2024-07-18,114.6,107.5,113.45,108.3,108.6,113.21,84893554,9291615152.53,118.4,45.35,INE848E01016,109.45,-4.54,5.82,-4.34,56.24,nan,nan,nan
2024-07-19,109.72,105.5,108.45,106.27,105.94,108.3,65072210,6951195164.4,118.4,45.35,INE848E01016,106.82,-2.01,3.25,-1.87,51.46,nan,nan,nan
2024-07-22,108.65,104.3,105.8,107.3,107.49,106.27,57995385,6210180831.11,118.4,47.4,INE848E01016,107.08,1.42,1.26,0.97,53.61,3.78,nan,nan
2024-07-23,108.87,96.67,108.18,103.75,103.59,107.3,119253056,12326808843.03,118.4,47.4,INE848E01016,103.37,-4.10,4.93,-3.31,46.03,3.16,nan,nan
2024-07-23,108.87,96.67,108.18,103.75,103.59,107.3,119253056,12326808843.03,118.4,47.4,INE848E01016,103.37,-4.10,4.93,-3.31,46.03,2.64,nan,nan
2024-07-24,105.83,101.82,103.38,102.38,102.6,103.75,69256057,7160103731.96,118.4,47.4,INE848E01016,103.39,-0.97,3.37,-1.32,43.28,2.09,nan,nan
2024-07-25,103.8,101.01,101.4,101.96,101.99,102.38,37870720,3874016731.14,118.4,47.4,INE848E01016,102.3,0.55,1.80,-0.41,42.45,1.60,nan,nan
2024-07-26,107.4,103.5,103.5,104.62,104.55,101.96,74150250,7819203612.07,118.4,47.4,INE848E01016,105.45,1.08,2.66,2.61,49.14,1.41,nan,nan
2024-07-29,105.78,104.26,105.25,105.36,105.45,104.62,36122083,3799257724.22,118.4,48.4,INE848E01016,105.18,0.10,0.40,0.71,50.85,1.31,nan,nan
2024-07-30,106.65,105.25,105.36,105.49,105.44,105.36,29387753,3111026048.3,118.4,48.4,INE848E01016,105.86,0.12,1.10,0.12,51.16,1.22,nan,nan
2024-07-31,105.98,104.75,105.5,105.04,105.24,105.49,26015515,2734294293.24,118.4,48.4,INE848E01016,105.1,-0.44,0.89,-0.43,49.98,1.10,2.03,-0.93
2024-08-01,106.3,103.8,105.7,105.05,105.0,105.04,32207899,3382393922.57,118.4,48.4,INE848E01016,105.02,-0.61,1.19,0.01,50.01,1.00,1.83,-0.83
2024-08-02,103.95,102.36,103.0,103.31,103.42,105.05,24854216,2566811231.67,118.4,48.4,INE848E01016,103.27,0.30,0.62,-1.66,45.33,0.77,1.61,-0.85
2024-08-05,101.25,97.73,100.0,98.31,98.08,103.31,57534546,5714864139.72,118.4,48.4,INE848E01016,99.33,-1.69,2.99,-4.84,35.15,0.18,1.33,-1.15
2024-08-06,101.5,97.42,99.0,97.81,97.86,98.31,36552604,3635678179.25,118.4,48.4,INE848E01016,99.46,-1.20,3.77,-0.51,34.32,-0.33,1.00,-1.32
2024-08-07,101.6,98.02,101.0,100.55,100.2,97.81,38858385,3856873728.04,118.4,48.4,INE848E01016,99.25,-0.45,1.04,2.80,42.35,-0.50,0.70,-1.20
2024-08-08,100.2,98.26,100.2,98.78,98.72,100.55,27076745,2692037439.1,118.4,48.4,INE848E01016,99.42,-1.42,1.44,-1.76,39.03,-0.77,0.40,-1.17
2024-08-09,99.8,97.4,99.28,97.77,97.74,98.78,23286851,2293071645.02,118.4,48.4,INE848E01016,98.47,-1.52,2.08,-1.02,37.24,-1.05,0.11,-1.17
2024-08-12,97.2,95.45,96.84,96.87,96.83,97.77,36867310,3551417047.3,118.4,48.4,INE848E01016,96.33,0.03,0.34,-0.92,35.66,-1.33,-0.18,-1.16
2024-08-13,97.79,94.64,97.0,95.12,95.02,96.87,25538708,2459332035.05,118.4,48.4,INE848E01016,96.3,-1.94,2.81,-1.81,32.76,-1.68,-0.48,-1.20
