timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,439.0,405.55,407.0,428.05,432.9,402.5,16454024,7002239013.25,998.3,310,INE982J01020,425.56,5.17,2.56,6.35,nan,nan,nan,nan
2024-06-14,440.5,422.15,436.05,425.05,423.6,428.05,5490425,2357491385.8,998.3,310,INE982J01020,429.38,-2.52,3.63,-0.70,nan,nan,nan,nan
2024-06-18,442.0,411.0,442.0,417.0,417.15,425.05,12825770,5388731704.9,998.3,310,INE982J01020,420.15,-5.66,6.00,-1.89,nan,nan,nan,nan
2024-06-19,422.0,403.5,420.0,410.25,410.95,417.0,4054335,1665743291.95,998.3,310,INE982J01020,410.85,-2.32,2.86,-1.62,nan,nan,nan,nan
2024-06-20,419.8,410.25,414.0,411.5,411.45,410.25,1905808,789894535.9,998.3,310,INE982J01020,414.47,-0.60,2.02,0.30,nan,nan,nan,nan
2024-06-21,414.7,402.5,411.5,411.15,412.1,411.5,2535336,1036613445.85,998.3,310,INE982J01020,408.87,-0.09,0.86,-0.09,nan,nan,nan,nan
2024-06-24,417.1,406.05,409.7,410.7,409.0,411.15,2290263,942382183.15,998.3,310,INE982J01020,411.47,0.24,1.56,-0.11,nan,nan,nan,nan
2024-06-25,424.4,409.25,415.0,412.8,410.0,410.7,3221883,1342324506.35,998.3,310,INE982J01020,416.63,-0.53,2.81,0.51,nan,nan,nan,nan
2024-06-26,414.7,406.55,413.0,409.35,408.25,412.8,1504820,617478292.35,998.3,310,INE982J01020,410.33,-0.88,1.31,-0.84,nan,nan,nan,nan
2024-06-27,411.0,400.1,408.0,404.3,403.0,409.35,2060528,833310735.5,998.3,310,INE982J01020,404.42,-0.91,1.66,-1.23,nan,nan,nan,nan
2024-06-28,411.5,400.05,405.0,401.75,401.95,404.3,2162358,876215792.2,998.3,310,INE982J01020,405.21,-0.80,2.43,-0.63,nan,nan,nan,nan
2024-07-01,423.7,403.0,403.0,411.85,411.55,401.75,4061370,1685672757.45,998.3,310,INE982J01020,415.05,2.20,2.88,2.51,nan,nan,nan,nan
2024-07-02,423.25,409.05,412.05,421.05,421.0,411.85,4087675,1701964303.35,998.3,310,INE982J01020,416.36,2.18,0.52,2.23,nan,nan,nan,nan
2024-07-03,425.0,414.5,424.0,417.55,417.35,421.05,3892175,1630078523.05,998.3,310,INE982J01020,418.81,-1.52,1.78,-0.83,nan,nan,nan,nan
2024-07-04,430.0,411.0,418.1,412.45,412.8,417.55,5411756,2256466008.6,998.3,310,INE982J01020,416.96,-1.35,4.26,-1.22,42.87,nan,nan,nan
2024-07-05,442.5,412.75,416.55,436.55,438.0,412.45,6630370,2849215157.1,998.3,310,INE982J01020,429.72,4.80,1.36,5.84,64.79,nan,nan,nan
2024-07-08,479.9,440.2,440.2,472.35,472.95,436.55,12698807,5922843685.35,998.3,310,INE982J01020,466.41,7.30,1.60,8.20,78.18,nan,nan,nan
2024-07-09,476.0,448.8,476.0,461.65,461.0,472.35,6693084,3069544385.65,998.3,310,INE982J01020,458.61,-3.01,3.11,-2.27,69.66,nan,nan,nan
2024-07-10,474.7,454.1,464.75,467.15,466.3,461.65,6211525,2902561462.65,998.3,310,INE982J01020,467.29,0.52,1.62,1.19,71.38,nan,nan,nan
2024-07-11,491.8,468.05,468.05,480.25,478.4,467.15,5700801,2745906949.95,998.3,310,INE982J01020,481.67,2.61,2.40,2.80,75.03,nan,nan,nan
2024-07-12,482.8,461.0,480.0,465.95,465.2,480.25,2441250,1152942501.2,998.3,310,INE982J01020,472.28,-2.93,3.62,-2.98,65.25,nan,nan,nan
2024-07-15,476.7,462.05,467.0,469.65,469.4,465.95,3318491,1560528472.4,998.3,310,INE982J01020,470.25,0.57,1.50,0.79,66.47,nan,nan,nan
2024-07-16,471.4,454.75,466.0,460.3,458.1,469.65,2530705,1169032797.75,998.3,310,INE982J01020,461.94,-1.22,2.41,-1.99,60.69,nan,nan,nan
2024-07-18,464.75,442.8,459.0,445.3,444.25,460.3,2699225,1212724717.15,998.3,310,INE982J01020,449.29,-2.98,4.37,-3.26,52.75,nan,nan,nan
2024-07-19,471.95,425.6,443.0,458.75,455.9,445.3,11709927,5303042289.9,998.3,310,INE982J01020,452.87,3.56,2.88,3.02,58.05,nan,nan,nan
2024-07-22,462.3,443.5,447.95,452.45,452.6,458.75,3225265,1463596942.45,998.3,310,INE982J01020,453.79,1.00,2.18,-1.37,54.94,18.60,nan,nan
2024-07-23,464.7,437.25,454.65,457.25,455.8,452.45,3009397,1353652052.7,998.3,310,INE982J01020,449.81,0.57,1.63,1.06,56.84,17.62,nan,nan
2024-07-23,464.7,437.25,454.65,457.25,455.8,452.45,3009397,1353652052.7,998.3,310,INE982J01020,449.81,0.57,1.63,1.06,56.84,16.65,nan,nan
2024-07-24,467.8,447.2,453.0,456.3,455.5,457.25,1818969,831970205.9,998.3,310,INE982J01020,457.39,0.73,2.52,-0.21,56.29,15.63,nan,nan
2024-07-25,464.3,448.55,450.0,462.8,462.5,456.3,1919454,880295872.6,998.3,310,INE982J01020,458.62,2.84,0.32,1.42,59.17,15.17,nan,nan
2024-07-26,509.05,459.0,459.0,509.05,509.05,462.8,10481268,5184502723.4,998.3,310,INE982J01020,494.64,10.90,0.00,9.99,72.86,18.32,nan,nan
2024-07-29,518.3,490.0,512.75,494.05,494.9,509.05,8506569,4263068449.5,998.3,310,INE982J01020,501.15,-3.65,4.91,-2.95,65.22,19.39,nan,nan
2024-07-30,512.7,494.4,501.0,496.9,495.95,494.05,6991041,3519762900.4,998.3,310,INE982J01020,503.47,-0.82,3.18,0.58,65.95,20.23,nan,nan
2024-07-31,507.45,493.0,494.0,494.25,494.25,496.9,2553435,1272463327.55,998.3,310,INE982J01020,498.33,0.05,2.67,-0.53,64.59,20.45,18.01,2.44
2024-08-01,520.0,492.1,498.55,496.85,498.0,494.25,5509816,2787160266.65,998.3,310,INE982J01020,505.85,-0.34,4.66,0.53,65.35,20.59,18.52,2.07
2024-08-02,542.6,492.3,494.85,527.0,527.0,496.85,13602639,7150051769.25,998.3,310,INE982J01020,525.64,6.50,2.96,6.07,72.63,22.87,19.39,3.48
2024-08-05,516.4,481.65,513.85,499.4,500.45,527.0,9396049,4696435406.15,998.3,310,INE982J01020,499.83,-2.81,3.40,-5.24,60.17,22.20,19.95,2.25
2024-08-06,522.0,482.1,504.0,488.1,490.0,499.4,5688494,2885376971.15,998.3,310,INE982J01020,507.23,-3.15,6.95,-2.26,55.94,20.52,20.07,0.45
2024-08-07,511.0,493.4,500.0,505.85,506.05,488.1,3479206,1752893496.5,998.3,310,INE982J01020,503.82,1.17,1.02,3.64,60.62,20.38,20.13,0.25
2024-08-08,535.0,501.75,508.0,508.5,507.2,505.85,10467494,5464028050.05,998.3,310,INE982J01020,522.0,0.10,5.21,0.52,61.28,20.26,20.16,0.10
2024-08-09,522.3,509.0,520.05,510.85,510.9,508.5,4096869,2107637049.1,998.3,310,INE982J01020,514.45,-1.77,2.24,0.46,61.89,20.11,20.15,-0.03
2024-08-12,527.0,499.45,507.55,514.6,513.35,510.85,5613698,2883711033.75,998.3,310,INE982J01020,513.69,1.39,2.41,0.73,62.90,20.07,20.13,-0.06
2024-08-13,524.75,503.75,515.15,506.15,508.0,514.6,4545613,2337595661.8,998.3,310,INE982J01020,514.25,-1.75,3.67,-1.64,59.11,19.14,19.93,-0.80
2024-08-14,546.8,505.5,508.1,538.8,541.0,506.15,12889333,6828654051.25,998.3,310,INE982J01020,529.79,6.04,1.48,6.45,67.31,20.79,20.11,0.69
2024-08-16,569.9,536.45,544.0,564.25,560.35,538.8,13134779,7291254701.9,998.3,310,INE982J01020,555.11,3.72,1.00,4.72,72.02,23.88,20.86,3.02
2024-08-19,594.4,564.7,565.0,572.8,572.0,564.25,12268435,7136056309.2,998.3,310,INE982J01020,581.66,1.38,3.77,1.52,73.40,26.71,22.03,4.68
2024-08-20,584.0,568.05,575.0,572.85,570.0,572.8,6100028,3508072801.4,998.3,310,INE982J01020,575.09,-0.37,1.95,0.01,73.41,28.63,23.35,5.28
2024-08-21,582.8,570.1,574.95,574.05,574.9,572.85,4699120,2704834006.0,998.3,310,INE982J01020,575.6,-0.16,1.52,0.21,73.63,29.90,24.66,5.24
2024-08-22,604.7,538.35,584.0,553.7,556.0,574.05,21141552,12056769066.4,998.3,310,INE982J01020,570.29,-5.19,9.21,-3.54,64.24,28.93,25.51,3.42
2024-08-23,571.3,551.1,555.0,554.85,555.15,553.7,7634408,4269088941.0,998.3,310,INE982J01020,559.19,-0.03,2.96,0.21,64.52,27.93,26.00,1.94
2024-08-26,565.45,505.55,559.8,530.4,530.0,554.85,18465394,9783837102.5,998.3,310,INE982J01020,529.85,-5.25,6.61,-4.41,54.85,24.88,25.77,-0.89
2024-08-27,553.7,535.7,540.9,545.15,546.0,530.4,6561483,3561569478.45,998.3,310,INE982J01020,542.8,0.79,1.57,2.78,58.86,23.39,25.30,-1.91
2024-08-28,559.95,534.55,549.0,538.0,541.15,545.15,6063546,3339783574.05,998.3,310,INE982J01020,550.8,-2.00,4.08,-1.31,56.25,21.38,24.51,-3.13
2024-08-29,564.8,540.1,559.0,554.5,555.0,538.0,9175132,5049901864.6,998.3,310,INE982J01020,550.39,-0.81,1.86,3.07,60.59,20.88,23.79,-2.91
2024-08-30,631.45,543.0,558.0,621.9,624.9,554.5,41866652,25237972616.25,998.3,310,INE982J01020,602.82,11.45,1.54,12.16,72.55,25.62,24.15,1.47
2024-09-02,634.0,587.3,619.0,607.85,610.75,621.9,20043277,12108633431.5,998.3,310,INE982J01020,604.12,-1.80,4.30,-2.26,67.92,27.93,24.91,3.02
2024-09-03,614.8,594.0,608.0,595.6,596.2,607.85,8664136,5234062091.45,998.3,310,INE982J01020,604.11,-2.04,3.22,-2.02,64.08,28.44,25.61,2.82
2024-09-04,620.95,583.6,585.6,613.9,614.5,595.6,12441628,7550140910.1,998.3,310,INE982J01020,606.85,4.83,1.15,3.07,67.08,29.97,26.49,3.49
2024-09-05,633.7,610.6,619.0,626.55,619.0,613.9,10080314,6269347681.35,998.3,310,INE982J01020,621.94,1.22,1.14,2.06,69.00,31.85,27.56,4.29
2024-09-06,632.0,596.5,620.0,603.8,605.75,626.55,10538113,6493249291.35,998.3,310,INE982J01020,616.17,-2.61,4.67,-3.63,61.99,31.13,28.27,2.86
2024-09-09,640.0,584.1,605.5,627.65,636.55,603.8,14987916,9166038395.6,998.3,310,INE982J01020,611.56,3.66,1.97,3.95,65.90,32.12,29.04,3.08
2024-09-10,687.4,633.5,636.9,653.4,652.6,627.65,35594437,23661185775.65,998.3,310,INE982J01020,664.74,2.59,5.20,4.10,69.55,34.59,30.15,4.44
2024-09-11,683.3,651.0,656.5,666.5,668.25,653.4,22353276,14995425411.75,998.3,310,INE982J01020,670.84,1.52,2.52,2.00,71.23,37.17,31.56,5.61
