timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP
2024-07-22,284.5,269.05,273.45,282.05,282.0,276.3,2300077,642262518.9,343.5,151.25,279.24
2024-07-23,282.75,258.95,282.0,276.1,275.35,282.05,3813979,1041373153.55,343.5,151.25,273.04
2024-07-24,294.0,273.85,275.0,291.85,292.0,276.1,4117450,1183435811.65,343.5,151.25,287.42
2024-07-25,291.5,285.85,290.8,288.1,288.25,291.85,1820844,525592021.05,343.5,151.25,288.65
2024-07-26,299.0,287.3,289.0,290.95,291.0,288.1,4243107,1248177143.9,343.5,151.25,294.17
2024-07-29,302.45,288.55,292.0,299.7,300.0,290.95,4797892,1424777778.75,343.5,151.6,296.96
2024-07-30,343.45,305.1,306.0,331.95,331.9,299.7,47061718,15591817236.45,343.5,151.6,331.31
2024-07-31,336.6,323.3,333.7,325.25,325.5,331.95,6654925,2190109641.0,343.5,151.6,329.1
2024-08-01,359.8,324.3,328.5,346.85,349.05,325.25,32541135,11349411640.25,359.8,151.6,348.77
2024-08-02,380.0,340.3,343.0,376.9,372.5,346.85,35128581,12816738201.05,380.0,151.6,364.85
2024-08-05,396.9,355.0,364.05,384.35,380.35,376.9,42742615,16222465771.55,396.9,151.6,379.54
2024-08-06,419.85,377.25,393.7,385.35,389.1,384.35,31280502,12600742971.6,419.85,151.6,402.83
2024-08-07,405.0,377.55,399.0,385.45,386.5,385.35,10195992,3970957189.5,419.85,151.6,389.46
2024-08-08,411.6,383.0,386.35,402.0,401.95,385.45,18321151,7332295776.05,419.85,151.6,400.21
2024-08-09,409.0,392.25,409.0,395.9,395.0,402.0,5713077,2288940194.9,419.85,151.6,400.65
2024-08-12,394.75,382.95,393.0,386.8,385.95,395.9,4099618,1593907152.0,419.85,152.7,388.79
2024-08-13,389.5,371.55,388.0,374.95,374.45,386.8,2827621,1076034225.55,419.85,152.7,380.54
2024-08-14,403.3,374.6,376.85,386.8,386.25,374.95,9761330,3830904309.65,419.85,152.7,392.46
2024-08-16,408.8,391.2,393.15,404.6,403.0,386.8,7637884,3060292284.6,419.85,152.7,400.67
2024-08-19,424.4,407.0,407.95,416.8,417.6,404.6,8043304,3352510271.3,424.4,152.7,416.81
2024-08-20,435.0,418.25,418.95,423.3,423.0,416.8,7782623,3328304230.05,435.0,152.7,427.66
