timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP
2024-07-30,222.28,213.51,216.0,219.89,220.41,215.45,12955580,2834288273.02,245,105.25,218.77
2024-07-31,224.6,217.35,221.0,218.59,218.51,219.89,9632730,2136074799.08,245,105.25,221.75
2024-08-01,221.4,215.1,219.0,216.36,216.3,218.59,6191879,1352088078.26,245,105.25,218.36
2024-08-02,214.9,210.21,213.02,211.84,212.04,216.36,4700474,999699748.36,245,105.25,212.68
2024-08-05,207.45,195.32,207.08,196.54,196.0,211.84,6343329,1271277002.51,245,105.25,200.41
2024-08-06,205.2,192.7,198.05,193.54,193.81,196.54,4987200,997576945.12,245,105.25,200.03
2024-08-07,203.9,194.6,197.8,202.84,203.78,193.54,4431814,883654702.02,245,105.25,199.39
2024-08-08,206.25,199.2,203.0,199.85,199.9,202.84,3806269,773551507.5,245,105.25,203.23
2024-08-09,206.4,200.7,201.7,203.3,202.8,199.85,4457426,907370109.71,245,105.25,203.56
2024-08-12,205.4,197.95,200.78,200.3,200.37,203.3,5718030,1153589452.78,245,105.25,201.75
2024-08-13,198.29,189.88,196.5,190.84,190.65,200.3,5143582,1000099527.31,245,105.25,194.44
2024-08-14,192.4,185.21,191.7,187.07,187.71,190.84,2678155,502988394.71,245,105.25,187.81
2024-08-16,194.15,189.1,190.0,192.18,192.0,187.07,5361987,1025894041.92,245,105.25,191.33
2024-08-19,195.4,189.5,192.48,190.21,190.2,192.18,2776149,532613952.42,245,108.3,191.85
2024-08-20,192.7,188.3,191.44,190.27,190.2,190.21,2643118,503283776.69,245,108.3,190.41
2024-08-21,194.5,190.44,190.61,192.37,192.33,190.27,3940948,760470831.16,245,108.3,192.97
2024-08-22,207.5,192.5,193.65,202.69,202.9,192.37,17633000,3577444168.76,245,108.3,202.88
2024-08-23,204.2,199.3,203.9,199.85,199.89,202.69,3366254,677508951.92,245,108.3,201.26
2024-08-26,202.69,198.28,201.38,199.2,199.17,199.85,3317203,663205082.78,245,117.6,199.93
2024-08-27,207.89,199.21,199.21,203.21,202.8,199.2,7416177,1516583380.54,245,117.6,204.5
2024-08-28,206.98,202.0,204.0,202.92,202.6,203.21,3219929,656197602.88,245,117.6,203.79
