timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,395.75,385.8,394.4,390.15,391.45,392.1,15383097,5997519013.25,425.0,117.05,INE415G01027,389.88,-1.08,1.44,-0.50,nan,nan,nan,nan
2024-06-14,393.5,386.55,391.25,390.2,390.1,390.15,12323860,4806245997.4,425.0,117.05,INE415G01027,390.0,-0.27,0.85,0.01,nan,nan,nan,nan
2024-06-18,405.0,395.0,397.0,396.1,396.0,390.2,28638590,11448206680.75,425.0,117.05,INE415G01027,399.75,-0.23,2.25,1.51,nan,nan,nan,nan
2024-06-19,397.3,382.8,397.25,390.9,390.9,396.1,13915164,5423692846.95,425.0,117.05,INE415G01027,389.77,-1.60,1.64,-1.31,nan,nan,nan,nan
2024-06-20,392.3,383.1,388.0,387.3,387.5,390.9,11437105,4421568140.85,425.0,117.05,INE415G01027,386.6,-0.18,1.29,-0.92,nan,nan,nan,nan
2024-06-21,417.4,384.0,385.6,409.75,409.9,387.3,75448395,30694851763.95,425.0,117.05,INE415G01027,406.83,6.26,1.87,5.80,nan,nan,nan,nan
2024-06-24,431.8,405.25,410.0,416.6,416.8,409.75,41934345,17600873926.25,431.8,117.05,INE415G01027,419.72,1.61,3.65,1.67,nan,nan,nan,nan
2024-06-25,424.45,405.4,420.0,407.15,408.15,416.6,20335982,8379424509.85,431.8,117.05,INE415G01027,412.05,-3.06,4.25,-2.27,nan,nan,nan,nan
2024-06-26,414.0,401.35,408.0,409.1,410.0,407.15,13277791,5426802978.1,431.8,117.05,INE415G01027,408.71,0.27,1.20,0.48,nan,nan,nan,nan
2024-06-27,420.85,406.65,414.0,413.95,413.9,409.1,20947231,8665402054.0,431.8,117.05,INE415G01027,413.68,-0.01,1.67,1.19,nan,nan,nan,nan
2024-06-28,424.4,410.6,418.0,416.6,417.0,413.95,23134009,9671525749.65,431.8,117.05,INE415G01027,418.07,-0.33,1.87,0.64,nan,nan,nan,nan
2024-07-01,421.3,413.5,417.0,415.0,415.6,416.6,10190705,4247477902.75,431.8,117.05,INE415G01027,416.8,-0.48,1.52,-0.38,nan,nan,nan,nan
2024-07-02,417.05,404.3,415.85,411.0,411.65,415.0,11365895,4679476618.9,431.8,117.05,INE415G01027,411.71,-1.17,1.47,-0.96,nan,nan,nan,nan
2024-07-03,421.2,415.0,415.6,416.95,417.35,411.0,12879072,5374137518.85,431.8,117.05,INE415G01027,417.28,0.32,1.02,1.45,nan,nan,nan,nan
2024-07-04,430.95,417.25,419.0,418.75,419.2,416.95,20654664,8735263619.85,431.8,117.05,INE415G01027,422.92,-0.06,2.91,0.43,68.77,nan,nan,nan
2024-07-05,498.5,424.55,424.95,491.05,492.15,418.75,152345942,71313404760.15,498.5,117.05,INE415G01027,468.1,15.55,1.52,17.27,88.40,nan,nan,nan
2024-07-08,578.95,508.0,508.0,565.9,567.5,491.05,178360632,99018136423.9,578.95,117.05,INE415G01027,555.16,11.40,2.31,15.24,93.18,nan,nan,nan
2024-07-09,619.0,534.15,587.0,542.75,545.0,565.9,156242236,88105831025.0,619.0,117.05,INE415G01027,563.91,-7.54,14.05,-4.09,81.93,nan,nan,nan
2024-07-10,618.4,557.75,560.0,609.95,616.0,542.75,211547060,124810061049.9,619.0,117.05,INE415G01027,589.99,8.92,1.39,12.38,86.88,nan,nan,nan
2024-07-11,643.8,606.0,634.95,630.0,628.0,609.95,95328327,59787673835.1,643.8,117.05,INE415G01027,627.18,-0.78,2.19,3.29,87.94,nan,nan,nan
2024-07-12,645.0,610.15,628.0,626.75,625.75,630.0,56153729,35484316969.7,645.0,117.05,INE415G01027,631.91,-0.20,2.91,-0.52,86.72,nan,nan,nan
2024-07-15,647.0,622.25,637.0,626.0,625.0,626.75,29639356,18732697653.3,647.0,118.75,INE415G01027,632.02,-1.73,3.35,-0.12,86.42,nan,nan,nan
2024-07-16,631.8,605.0,625.0,620.15,624.2,626.0,29931644,18538948086.75,647.0,118.75,INE415G01027,619.38,-0.78,1.88,-0.93,83.99,nan,nan,nan
2024-07-18,626.0,582.65,612.0,586.15,585.6,620.15,35159677,20989627792.15,647.0,118.75,INE415G01027,596.98,-4.22,6.80,-5.48,71.41,nan,nan,nan
2024-07-19,637.9,570.3,582.35,613.75,613.45,586.15,73240329,44604734769.3,647.0,118.75,INE415G01027,609.02,5.39,3.93,4.71,74.72,nan,nan,nan
2024-07-22,630.7,598.45,615.0,624.1,625.5,613.75,34133877,21202336111.4,647.0,119.65,INE415G01027,621.15,1.48,1.06,1.69,75.85,89.11,nan,nan
2024-07-23,639.0,561.7,634.8,590.3,592.0,624.1,57366312,34526437481.7,647.0,119.65,INE415G01027,601.86,-7.01,8.25,-5.42,65.55,83.75,nan,nan
2024-07-23,639.0,561.7,634.8,590.3,592.0,624.1,57366312,34526437481.7,647.0,119.65,INE415G01027,601.86,-7.01,8.25,-5.42,65.55,78.60,nan,nan
2024-07-24,607.0,583.0,591.15,593.75,592.5,590.3,18166209,10823837430.3,647.0,119.65,INE415G01027,595.82,0.44,2.23,0.58,66.09,73.94,nan,nan
2024-07-25,595.85,573.6,590.0,575.7,576.4,593.75,17201205,10035550657.3,647.0,119.65,INE415G01027,583.42,-2.42,3.50,-3.04,60.68,68.01,nan,nan
2024-07-26,583.5,550.05,576.5,552.35,555.85,575.7,21601968,12144929031.2,647.0,119.65,INE415G01027,562.21,-4.19,5.64,-4.06,54.47,60.73,nan,nan
2024-07-29,607.55,555.55,557.5,606.3,607.55,552.35,48942004,28744985036.8,647.0,121.75,INE415G01027,587.33,8.75,0.21,9.77,63.71,58.63,nan,nan
2024-07-30,626.8,611.0,614.7,614.45,613.45,606.3,26215668,16199633662.95,647.0,121.75,INE415G01027,617.94,-0.04,2.01,1.34,64.87,56.97,nan,nan
2024-07-31,615.7,598.0,614.0,601.5,601.5,614.45,11846077,7144471295.55,647.0,121.75,INE415G01027,603.11,-2.04,2.36,-2.11,61.51,53.99,69.30,-15.32
2024-08-01,607.0,591.0,605.25,595.5,595.1,601.5,9507451,5682587621.2,647.0,121.75,INE415G01027,597.7,-1.61,1.93,-1.00,59.96,50.56,65.55,-15.00
2024-08-02,593.75,579.0,580.0,589.8,588.5,595.5,11185800,6573454813.7,647.0,121.75,INE415G01027,587.66,1.69,0.67,-0.96,58.45,46.84,61.81,-14.97
2024-08-05,575.0,544.35,559.8,550.8,550.4,589.8,21657722,12028466279.85,647.0,122.4,INE415G01027,555.39,-1.61,4.39,-6.61,49.31,40.28,57.50,-17.23
2024-08-06,575.0,542.35,563.6,546.05,546.0,550.8,13085001,7327381870.05,647.0,122.4,INE415G01027,559.98,-3.11,5.30,-0.86,48.32,34.30,52.86,-18.56
2024-08-07,568.95,545.8,565.3,565.8,567.0,546.05,13370669,7460023730.65,647.0,122.4,INE415G01027,557.94,0.09,0.56,3.62,52.59,30.80,48.45,-17.65
2024-08-08,583.0,531.4,565.05,538.45,539.5,565.8,30489387,16886810835.2,647.0,122.4,INE415G01027,553.86,-4.71,8.27,-4.83,46.82,25.53,43.87,-18.34
2024-08-09,538.0,514.0,538.0,518.15,518.4,538.45,23773689,12367538932.45,647.0,122.4,INE415G01027,520.22,-3.69,3.83,-3.77,43.05,19.49,38.99,-19.50
2024-08-12,583.0,522.4,524.0,575.85,576.0,518.15,61951226,34929132385.6,647.0,122.4,INE415G01027,563.82,9.90,1.24,11.14,54.32,19.14,35.02,-15.88
2024-08-13,601.9,565.0,581.7,569.45,568.9,575.85,42007554,24590723916.0,647.0,122.4,INE415G01027,585.39,-2.11,5.70,-1.11,53.06,18.13,31.64,-13.51
2024-08-14,575.0,550.15,572.0,554.1,554.5,569.45,19122889,10678142264.95,647.0,122.4,INE415G01027,558.4,-3.13,3.77,-2.70,50.08,15.91,28.50,-12.58
2024-08-16,581.9,561.1,561.1,570.65,571.0,554.1,21355519,12219936350.5,647.0,122.4,INE415G01027,572.21,1.70,1.97,2.99,53.14,15.31,25.86,-10.55
2024-08-19,590.0,571.0,581.8,573.5,574.7,570.65,16785488,9738824979.35,647.0,122.8,INE415G01027,580.19,-1.43,2.88,0.50,53.66,14.90,23.67,-8.77
2024-08-20,575.8,560.0,575.0,561.7,563.0,573.5,9499106,5356775245.6,647.0,122.8,INE415G01027,563.92,-2.31,2.51,-2.06,51.10,13.46,21.63,-8.17
2024-08-21,572.75,553.0,560.0,563.9,563.95,561.7,10316563,5815495816.65,647.0,122.8,INE415G01027,563.7,0.70,1.57,0.39,51.57,12.35,19.77,-7.42
2024-08-22,576.75,567.0,571.0,570.75,570.85,563.9,10606181,6056404950.05,647.0,122.8,INE415G01027,571.03,-0.04,1.05,1.21,53.06,11.90,18.20,-6.30
2024-08-23,594.5,568.65,570.75,572.7,573.5,570.75,26306003,15300862094.8,647.0,122.8,INE415G01027,581.65,0.34,3.81,0.34,53.50,11.56,16.87,-5.31
2024-08-26,585.65,575.5,577.5,577.2,577.75,572.7,11254234,6514310137.4,647.0,123.7,INE415G01027,578.83,-0.05,1.46,0.79,54.56,11.52,15.80,-4.28
2024-08-27,587.0,572.0,579.8,576.1,577.8,577.2,13076800,7562471830.15,647.0,123.7,INE415G01027,578.31,-0.64,1.89,-0.19,54.23,11.27,14.89,-3.62
2024-08-28,596.5,577.35,579.8,578.2,577.4,576.1,22101243,12920635092.4,647.0,123.7,INE415G01027,584.61,-0.28,3.16,0.36,54.79,11.11,14.14,-3.02
2024-08-29,584.75,572.6,583.5,579.8,578.15,578.2,13756438,7970639203.45,647.0,123.7,INE415G01027,579.41,-0.63,0.85,0.28,55.23,10.99,13.51,-2.52
2024-08-30,615.0,580.65,584.0,607.4,603.55,579.8,121690785,73504745787.55,647.0,123.7,INE415G01027,604.03,4.01,1.25,4.76,62.14,12.97,13.40,-0.43
2024-09-02,619.5,593.6,610.5,601.2,601.85,607.4,22525336,13623514982.55,647.0,142.15,INE415G01027,604.81,-1.52,3.04,-1.02,59.91,13.88,13.50,0.38
2024-09-03,606.4,597.0,604.0,600.5,599.3,601.2,9558037,5739433463.25,647.0,142.15,INE415G01027,600.48,-0.58,0.98,-0.12,59.65,14.38,13.67,0.71
2024-09-04,600.7,590.65,598.0,592.7,592.8,600.5,7537912,4487845869.6,647.0,142.15,INE415G01027,595.37,-0.89,1.35,-1.30,56.68,13.98,13.73,0.25
2024-09-05,596.8,580.2,595.5,581.85,582.1,592.7,7030270,4129383763.75,647.0,142.15,INE415G01027,587.37,-2.29,2.57,-1.83,52.75,12.65,13.52,-0.87
2024-09-06,584.8,565.45,582.2,569.55,572.0,581.85,9015277,5156765537.25,647.0,142.15,INE415G01027,572.0,-2.17,2.68,-2.11,48.64,10.48,12.91,-2.43
2024-09-09,572.25,553.35,569.55,562.9,566.0,569.55,8885002,4976790619.2,647.0,142.15,INE415G01027,560.13,-1.17,1.66,-1.17,46.52,8.13,11.95,-3.83
2024-09-10,578.8,563.2,569.9,565.4,565.55,562.9,7591740,4319886479.15,647.0,142.15,INE415G01027,569.02,-0.79,2.37,0.44,47.45,6.39,10.84,-4.45
2024-09-11,567.8,555.3,567.8,556.7,557.4,565.4,4565818,2554449629.65,647.0,142.15,INE415G01027,559.47,-1.95,1.99,-1.54,44.56,4.27,9.53,-5.26
