timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP
2024-08-02,148.18,145.1,147.73,146.23,145.98,150.03,29660329,4355229376.52,175.35,81.8,146.84
2024-08-05,142.0,135.0,141.0,136.62,136.8,146.23,49706240,6854217978.79,175.35,81.8,137.89
2024-08-06,141.5,134.68,139.29,135.46,136.05,136.62,23211408,3216839129.68,175.35,81.8,138.59
2024-08-07,142.85,137.21,139.8,141.63,142.85,135.46,22300426,3115197485.0,175.35,81.8,139.69
2024-08-08,141.3,136.5,141.3,137.45,137.69,141.63,25849915,3577387821.36,175.35,81.8,138.39
2024-08-09,137.16,128.89,136.0,129.35,129.25,137.45,76287884,10109796096.85,175.35,81.8,132.52
2024-08-12,132.95,127.1,129.25,131.7,131.52,129.35,33401039,4367051635.55,175.35,81.8,130.75
2024-08-13,132.5,127.72,132.2,128.14,128.3,131.7,16376718,2133663272.75,175.35,81.8,130.29
2024-08-14,129.5,125.0,129.05,125.23,125.37,128.14,22221242,2816357092.69,175.35,81.8,126.74
2024-08-16,128.68,126.6,127.77,128.28,127.95,125.23,15743875,2010944266.02,175.35,81.8,127.73
2024-08-19,131.65,129.25,130.0,131.32,131.5,128.28,14677989,1919167277.96,175.35,81.8,130.75
2024-08-20,133.45,130.81,132.49,133.15,133.09,131.32,16842938,2227492398.61,175.35,81.8,132.25
2024-08-21,135.34,132.45,133.3,135.04,134.95,133.15,14879021,2001454828.55,175.35,81.8,134.52
2024-08-22,135.39,133.27,135.17,133.88,134.0,135.04,17039181,2285559146.21,175.35,81.8,134.14
2024-08-23,135.03,131.5,133.9,131.79,131.68,133.88,14050547,1873471448.4,175.35,81.8,133.34
2024-08-26,138.78,132.4,133.39,137.75,137.68,131.79,32800586,4473723376.81,175.35,81.8,136.39
2024-08-27,138.25,135.6,137.75,135.9,135.9,137.75,12380923,1695833844.78,175.35,81.8,136.97
2024-08-28,136.4,133.35,135.9,134.04,133.95,135.9,11414976,1541003812.35,175.35,81.8,135.0
2024-08-29,135.0,131.85,133.9,134.25,134.75,134.04,12348963,1647400117.21,175.35,81.8,133.4
2024-08-30,136.05,133.35,134.59,133.69,133.94,134.25,13016284,1750795829.85,175.35,81.8,134.51
