timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,731.6,719.05,720.0,727.05,726.05,717.45,1990427,1448785195.25,933.0,647.95,INE018E01016,727.88,0.98,0.63,1.34,nan,nan,nan,nan
2024-06-14,733.25,720.8,730.0,728.35,728.5,727.05,1219385,885368296.15,933.0,647.95,INE018E01016,726.08,-0.23,0.67,0.18,nan,nan,nan,nan
2024-06-18,732.2,723.0,729.0,726.35,726.5,728.35,1023807,743082846.9,916.95,647.95,INE018E01016,725.8,-0.36,0.81,-0.27,nan,nan,nan,nan
2024-06-19,732.0,721.15,730.0,730.0,730.0,726.35,968431,705093554.55,916.95,647.95,INE018E01016,728.08,0.00,0.27,0.50,nan,nan,nan,nan
2024-06-20,738.5,728.65,730.0,732.5,732.05,730.0,886197,650258297.6,916.95,647.95,INE018E01016,733.76,0.34,0.82,0.34,nan,nan,nan,nan
2024-06-21,735.9,723.95,734.9,725.35,725.95,732.5,758059,552043450.35,916.95,647.95,INE018E01016,728.23,-1.30,1.45,-0.98,nan,nan,nan,nan
2024-06-24,733.0,721.05,726.0,729.95,727.6,725.35,1095490,798587089.3,892.85,647.95,INE018E01016,728.98,0.54,0.42,0.63,nan,nan,nan,nan
2024-06-25,733.4,724.1,729.95,732.0,732.0,729.95,1355431,989627374.75,892.85,647.95,INE018E01016,730.12,0.28,0.19,0.28,nan,nan,nan,nan
2024-06-26,733.4,725.75,732.0,732.0,731.05,732.0,912110,666545339.55,892.85,647.95,INE018E01016,730.77,0.00,0.19,0.00,nan,nan,nan,nan
2024-06-27,739.65,728.0,732.0,730.35,730.5,732.0,1229089,900793194.65,892.85,647.95,INE018E01016,732.9,-0.23,1.27,-0.23,nan,nan,nan,nan
2024-06-28,735.0,721.0,735.0,724.6,724.4,730.35,1225536,889618686.4,892.85,647.95,INE018E01016,725.9,-1.41,1.44,-0.79,nan,nan,nan,nan
2024-07-01,729.7,722.1,724.0,723.0,724.4,724.6,1189555,861321718.8,892.85,647.95,INE018E01016,724.07,-0.14,0.93,-0.22,nan,nan,nan,nan
2024-07-02,727.85,708.75,725.0,711.15,709.95,723.0,2596663,1854457477.35,892.85,647.95,INE018E01016,714.17,-1.91,2.35,-1.64,nan,nan,nan,nan
2024-07-03,717.6,711.15,713.0,715.25,715.65,711.15,589709,421430644.45,892.85,647.95,INE018E01016,714.64,0.32,0.33,0.58,nan,nan,nan,nan
2024-07-04,724.55,712.3,716.0,718.9,719.55,715.25,1120401,805742126.2,892.85,647.95,INE018E01016,719.16,0.41,0.79,0.51,40.42,nan,nan,nan
2024-07-05,724.0,714.35,718.9,721.95,721.1,718.9,546703,393398412.75,892.85,647.95,INE018E01016,719.58,0.42,0.28,0.42,45.41,nan,nan,nan
2024-07-08,740.0,714.35,723.25,735.65,735.5,721.95,2067366,1510305201.3,892.85,647.95,INE018E01016,730.55,1.71,0.59,1.90,61.15,nan,nan,nan
2024-07-09,737.65,723.6,737.0,729.9,730.0,735.65,993753,725312176.2,892.85,647.95,INE018E01016,729.87,-0.96,1.06,-0.78,54.10,nan,nan,nan
2024-07-10,746.55,724.0,730.85,745.3,745.0,729.9,2384876,1755732572.95,892.85,647.95,INE018E01016,736.19,1.98,0.17,2.11,65.56,nan,nan,nan
2024-07-11,750.0,737.4,750.0,741.2,740.25,745.3,1747827,1298948320.5,892.85,647.95,INE018E01016,743.18,-1.17,1.19,-0.55,61.18,nan,nan,nan
2024-07-12,745.9,736.05,742.25,738.65,738.0,741.2,858002,636190845.1,892.85,647.95,INE018E01016,741.48,-0.49,0.98,-0.34,58.56,nan,nan,nan
2024-07-15,741.65,734.55,740.45,738.55,738.85,738.65,539293,398237146.75,892.85,647.95,INE018E01016,738.44,-0.26,0.42,-0.01,58.45,nan,nan,nan
2024-07-16,743.75,729.1,738.5,730.9,732.5,738.55,1032022,757044545.8,892.85,647.95,INE018E01016,733.55,-1.03,1.76,-1.04,50.89,nan,nan,nan
2024-07-18,734.45,722.0,731.0,733.5,731.5,730.9,836572,610381237.85,892.85,647.95,INE018E01016,729.62,0.34,0.13,0.36,53.11,nan,nan,nan
2024-07-19,735.95,716.3,734.85,718.6,719.95,733.5,1513766,1094172490.7,892.85,647.95,INE018E01016,722.81,-2.21,2.41,-2.03,41.52,nan,nan,nan
2024-07-22,728.9,711.6,717.0,727.75,726.3,718.6,717521,519038180.05,892.85,647.95,INE018E01016,723.38,1.50,0.16,1.27,48.89,1.36,nan,nan
2024-07-23,734.0,713.0,730.0,730.85,733.2,727.75,2360731,1711481259.7,892.85,647.95,INE018E01016,724.98,0.12,0.43,0.43,51.14,1.31,nan,nan
2024-07-23,734.0,713.0,730.0,730.85,733.2,727.75,2360731,1711481259.7,892.85,647.95,INE018E01016,724.98,0.12,0.43,0.43,51.14,1.26,nan,nan
2024-07-24,745.0,726.55,734.5,743.6,745.0,730.85,1832662,1348584605.0,892.85,647.95,INE018E01016,735.86,1.24,0.19,1.74,59.62,2.22,nan,nan
2024-07-25,742.0,724.05,742.0,730.5,735.05,743.6,2374154,1734624410.45,892.85,647.95,INE018E01016,730.63,-1.55,1.57,-1.76,50.02,1.91,nan,nan
2024-07-26,730.4,718.1,730.4,721.7,720.7,730.5,3001400,2170065352.55,892.85,647.95,INE018E01016,723.02,-1.19,1.21,-1.20,44.80,0.94,nan,nan
2024-07-29,721.7,702.25,703.0,707.9,709.5,721.7,4435482,3137873740.25,892.85,647.95,INE018E01016,707.45,0.70,1.95,-1.91,38.09,-0.93,nan,nan
2024-07-30,724.95,708.1,712.0,719.0,720.65,707.9,1849310,1328803569.05,892.85,647.95,INE018E01016,718.54,0.98,0.83,1.57,45.20,-1.51,nan,nan
2024-07-31,727.75,719.1,722.45,726.85,726.35,719.0,1612250,1167295468.75,892.85,647.95,INE018E01016,724.02,0.61,0.12,1.09,49.61,-1.31,0.58,-1.89
2024-08-01,726.25,718.0,725.0,720.45,720.1,726.85,560280,403846314.9,892.85,647.95,INE018E01016,720.79,-0.63,0.81,-0.88,46.34,-1.65,0.14,-1.79
2024-08-02,720.55,713.0,716.0,714.55,714.5,720.45,1267000,908534963.6,892.85,647.95,INE018E01016,717.08,-0.20,0.84,-0.82,43.49,-2.37,-0.37,-2.01
2024-08-05,712.9,698.0,708.0,702.35,703.0,714.55,1036909,729228111.85,892.85,647.95,INE018E01016,703.27,-0.80,1.50,-1.71,38.25,-3.88,-1.07,-2.81
2024-08-06,710.0,697.45,703.35,698.65,699.4,702.35,783289,550196034.4,892.85,647.95,INE018E01016,702.42,-0.67,1.62,-0.53,36.80,-5.31,-1.92,-3.40
2024-08-07,719.85,699.75,703.05,713.9,716.8,698.65,870799,615755260.65,892.85,647.95,INE018E01016,707.12,1.54,0.83,2.18,45.89,-5.16,-2.57,-2.59
2024-08-08,717.4,708.4,713.5,715.6,717.2,713.9,777520,555181114.8,892.85,647.95,INE018E01016,714.04,0.29,0.25,0.24,46.81,-4.85,-3.02,-1.82
2024-08-09,721.95,708.5,718.0,709.8,708.5,715.6,698168,498724095.55,892.85,647.95,INE018E01016,714.33,-1.14,1.71,-0.81,44.06,-5.01,-3.42,-1.59
2024-08-12,710.95,699.05,710.0,699.95,699.65,709.8,778938,547044163.25,867.0,647.95,INE018E01016,702.29,-1.42,1.57,-1.39,39.79,-5.86,-3.91,-1.95
2024-08-13,707.6,689.15,701.0,691.9,691.5,699.95,1290799,901210308.85,867.0,647.95,INE018E01016,698.18,-1.30,2.27,-1.15,36.66,-7.11,-4.55,-2.56
2024-08-14,695.9,689.0,691.95,689.65,690.0,691.9,564182,390585814.15,867.0,647.95,INE018E01016,692.3,-0.33,0.91,-0.33,35.82,-8.18,-5.27,-2.91
2024-08-16,700.0,690.4,692.95,698.65,698.7,689.65,815771,566651299.5,867.0,647.95,INE018E01016,694.62,0.82,0.19,1.31,41.63,-8.21,-5.86,-2.35
2024-08-19,702.95,697.0,699.5,699.9,700.75,698.65,569447,398307170.7,857.8,647.95,INE018E01016,699.46,0.06,0.44,0.18,42.41,-8.04,-6.30,-1.74
2024-08-20,712.95,700.0,700.0,710.7,708.75,699.9,1398065,988901368.95,857.8,647.95,INE018E01016,707.34,1.53,0.32,1.54,48.78,-6.96,-6.43,-0.53
2024-08-21,714.55,706.55,707.95,709.55,709.45,710.7,1439159,1022300879.7,857.8,647.95,INE018E01016,710.35,0.23,0.70,-0.16,48.17,-6.12,-6.37,0.25
2024-08-22,717.0,708.1,713.0,714.45,714.5,709.55,1708458,1219525579.1,857.8,647.95,INE018E01016,713.82,0.20,0.36,0.69,50.98,-5.00,-6.09,1.09
2024-08-23,718.65,714.0,715.95,716.65,716.9,714.45,659576,472817309.5,857.8,647.95,INE018E01016,716.85,0.10,0.28,0.31,52.24,-3.89,-5.65,1.76
2024-08-26,723.4,716.05,717.0,720.35,720.55,716.65,1094078,788471974.65,857.8,647.95,INE018E01016,720.67,0.47,0.42,0.52,54.35,-2.68,-5.06,2.38
2024-08-27,739.95,719.65,720.5,736.75,737.0,720.35,3527927,2592599055.3,857.8,647.95,INE018E01016,734.88,2.26,0.43,2.28,62.32,-0.40,-4.13,3.73
2024-08-28,743.7,728.2,739.8,731.3,730.55,736.75,1783612,1313813533.0,857.8,647.95,INE018E01016,736.6,-1.15,1.70,-0.74,58.66,0.96,-3.11,4.07
2024-08-29,730.95,716.5,730.95,721.2,720.9,731.3,1752565,1261607510.05,857.8,647.95,INE018E01016,719.86,-1.33,1.35,-1.38,52.50,1.21,-2.25,3.46
2024-08-30,730.25,721.35,730.0,723.2,724.45,721.2,1802624,1306155845.5,857.8,647.95,INE018E01016,724.59,-0.93,0.97,0.28,53.54,1.55,-1.49,3.04
2024-09-02,748.0,722.6,726.45,744.35,744.25,723.2,2393931,1767591400.15,857.8,647.95,INE018E01016,738.36,2.46,0.49,2.92,62.82,3.49,-0.49,3.98
2024-09-03,775.95,742.4,748.0,766.05,766.0,744.35,9020038,6891382891.4,857.8,647.95,INE018E01016,764.01,2.41,1.29,2.92,69.54,6.70,0.95,5.75
2024-09-04,770.4,754.85,764.95,768.55,766.2,766.05,2264088,1730352022.4,857.8,647.95,INE018E01016,764.26,0.47,0.24,0.33,70.21,9.33,2.62,6.71
2024-09-05,777.0,764.55,768.55,767.7,766.95,768.55,1582345,1217046712.5,857.8,647.95,INE018E01016,769.14,-0.11,1.21,-0.11,69.65,11.22,4.34,6.88
2024-09-06,812.0,778.9,779.05,800.65,799.4,767.7,16337930,13074808655.8,857.8,647.95,INE018E01016,800.27,2.77,1.42,4.29,77.22,15.21,6.52,8.69
2024-09-09,808.75,786.2,800.8,802.35,800.35,800.65,4440702,3550999794.75,857.8,647.95,INE018E01016,799.65,0.19,0.80,0.21,77.53,18.29,8.87,9.42
2024-09-10,806.15,790.35,805.0,793.9,795.1,802.35,2283172,1819072071.25,857.8,647.95,INE018E01016,796.73,-1.38,1.54,-1.05,72.24,19.82,11.06,8.76
2024-09-11,805.7,792.7,793.9,796.85,797.95,793.9,1771615,1414697502.65,857.8,647.95,INE018E01016,798.54,0.37,1.11,0.37,72.94,21.03,13.06,7.98
