timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,264.7,252.6,261.95,261.56,262.64,259.78,5703275,1472320976.0,290.75,96.8,INE109A01011,258.15,-0.15,1.20,0.69,nan,nan,nan,nan
2024-06-14,274.3,259.05,264.2,271.29,270.7,261.56,16016827,4316838933.5,290.75,96.8,INE109A01011,269.52,2.68,1.11,3.72,nan,nan,nan,nan
2024-06-18,289.7,273.25,273.25,284.42,283.5,271.29,20493136,5796196836.26,290.75,96.8,INE109A01011,282.84,4.09,1.86,4.84,nan,nan,nan,nan
2024-06-19,288.0,270.17,287.3,274.32,274.98,284.42,8256271,2283726119.5,290.75,96.8,INE109A01011,276.61,-4.52,4.99,-3.55,nan,nan,nan,nan
2024-06-20,279.25,271.18,278.7,273.27,273.6,274.32,4935322,1353769892.86,290.75,96.8,INE109A01011,274.3,-1.95,2.19,-0.38,nan,nan,nan,nan
2024-06-21,275.35,264.0,274.5,265.15,265.2,273.27,4515931,1207318012.58,290.75,96.8,INE109A01011,267.35,-3.41,3.85,-2.97,nan,nan,nan,nan
2024-06-24,268.45,256.6,260.15,260.94,261.8,265.15,4366319,1148031671.76,290.75,96.8,INE109A01011,262.93,0.30,2.88,-1.59,nan,nan,nan,nan
2024-06-25,267.07,260.0,262.05,260.79,260.9,260.94,3286539,866394430.93,290.75,96.8,INE109A01011,263.62,-0.48,2.41,-0.06,nan,nan,nan,nan
2024-06-26,262.2,255.0,261.5,255.9,255.4,260.79,2582501,666911315.26,290.75,96.8,INE109A01011,258.24,-2.14,2.46,-1.88,nan,nan,nan,nan
2024-06-27,261.0,248.36,256.0,252.52,252.99,255.9,3575689,915604035.29,290.75,96.8,INE109A01011,256.06,-1.36,3.36,-1.32,nan,nan,nan,nan
2024-06-28,260.7,251.1,253.8,251.85,252.9,252.52,2486006,634286542.29,290.75,96.8,INE109A01011,255.14,-0.77,3.51,-0.27,nan,nan,nan,nan
2024-07-01,257.75,246.65,252.95,257.05,257.05,251.85,3613726,919731845.75,290.75,96.8,INE109A01011,254.51,1.62,0.27,2.06,nan,nan,nan,nan
2024-07-02,258.9,251.5,258.15,253.65,254.2,257.05,1949101,497307813.25,290.75,96.8,INE109A01011,255.15,-1.74,2.07,-1.32,nan,nan,nan,nan
2024-07-03,268.5,254.1,254.5,263.3,262.5,253.65,5760681,1515352054.85,290.75,96.8,INE109A01011,263.05,3.46,1.97,3.80,nan,nan,nan,nan
2024-07-04,274.0,263.0,264.5,269.95,270.0,263.3,9284642,2506453604.35,290.75,96.8,INE109A01011,269.96,2.06,1.50,2.53,58.54,nan,nan,nan
2024-07-05,276.45,266.55,269.95,268.85,268.7,269.95,6424974,1746243083.4,290.75,96.8,INE109A01011,271.79,-0.41,2.83,-0.41,57.17,nan,nan,nan
2024-07-08,279.0,266.65,269.95,271.45,271.35,268.85,5273152,1440660084.65,290.75,96.8,INE109A01011,273.21,0.56,2.78,0.97,59.58,nan,nan,nan
2024-07-09,278.5,267.6,273.2,268.55,269.0,271.45,4198225,1144926159.3,290.75,96.8,INE109A01011,272.72,-1.70,3.71,-1.07,55.81,nan,nan,nan
2024-07-10,279.0,256.05,270.45,275.15,277.25,268.55,10382994,2818795456.45,290.75,96.8,INE109A01011,271.48,1.74,1.40,2.46,61.75,nan,nan,nan
2024-07-11,330.15,281.0,281.0,330.15,330.15,275.15,65065151,20337862952.1,330.15,96.8,INE109A01011,312.58,17.49,0.00,19.99,82.66,nan,nan,nan
2024-07-12,384.2,342.15,347.8,345.65,345.0,330.15,63158472,22682581125.65,384.2,96.8,INE109A01011,359.14,-0.62,11.15,4.69,85.13,nan,nan,nan
2024-07-15,351.9,325.65,347.8,330.55,332.0,345.65,13862107,4611573116.0,384.2,96.8,INE109A01011,332.67,-4.96,6.46,-4.37,74.07,nan,nan,nan
2024-07-16,341.0,322.2,334.0,323.85,324.5,330.55,8096428,2677020160.4,384.2,96.8,INE109A01011,330.64,-3.04,5.30,-2.03,69.74,nan,nan,nan
2024-07-18,326.55,308.85,320.5,311.2,312.45,323.85,9736775,3047653390.0,384.2,96.8,INE109A01011,313.0,-2.90,4.93,-3.91,62.33,nan,nan,nan
2024-07-19,319.6,303.55,310.15,305.35,306.0,311.2,10224025,3177123352.85,384.2,96.8,INE109A01011,310.75,-1.55,4.67,-1.88,59.20,nan,nan,nan
2024-07-22,334.9,301.6,304.0,318.7,319.5,305.35,19834323,6395828851.45,384.2,96.8,INE109A01011,322.46,4.84,5.08,4.37,63.69,23.10,nan,nan
2024-07-23,325.0,278.15,323.0,294.65,297.2,318.7,25230395,7699906565.0,384.2,96.8,INE109A01011,305.18,-8.78,10.30,-7.55,52.49,20.64,nan,nan
2024-07-23,325.0,278.15,323.0,294.65,297.2,318.7,25230395,7699906565.0,384.2,96.8,INE109A01011,305.18,-8.78,10.30,-7.55,52.49,18.47,nan,nan
2024-07-24,306.45,289.2,297.8,290.75,292.3,294.65,8764178,2593727400.6,384.2,96.8,INE109A01011,295.95,-2.37,5.40,-1.32,50.81,16.25,nan,nan
2024-07-25,298.8,279.5,287.9,280.9,282.55,290.75,11552644,3310428018.15,384.2,96.8,INE109A01011,286.55,-2.43,6.37,-3.39,46.74,13.55,nan,nan
2024-07-26,289.0,277.25,283.05,278.15,278.25,280.9,8167309,2311688819.0,384.2,96.8,INE109A01011,283.04,-1.73,3.90,-0.98,45.65,11.05,nan,nan
2024-07-29,292.9,276.85,280.95,281.7,282.5,278.15,13470209,3837170474.4,384.2,98.0,INE109A01011,284.86,0.27,3.98,1.28,47.37,9.25,nan,nan
2024-07-30,291.4,280.2,283.4,286.15,287.4,281.7,13006360,3721586346.2,384.2,98.0,INE109A01011,286.14,0.97,1.83,1.58,49.52,8.09,nan,nan
2024-07-31,291.3,285.15,287.3,286.7,287.3,286.15,3580671,1027633905.4,384.2,98.0,INE109A01011,286.99,-0.21,1.60,0.19,49.80,7.14,14.17,-7.04
2024-08-01,296.6,285.5,288.0,287.0,287.0,286.7,8515679,2483617000.15,384.2,98.0,INE109A01011,291.65,-0.35,3.34,0.10,49.96,6.33,12.60,-6.27
2024-08-02,285.95,279.05,282.6,283.75,285.0,287.0,3699944,1048930864.9,384.2,98.0,INE109A01011,283.5,0.41,0.78,-1.13,48.17,5.37,11.16,-5.79
