timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,586.0,572.0,584.95,573.75,573.75,579.25,619070,357248984.35,1485,469.6,INE269A01021,577.07,-1.91,2.14,-0.95,nan,nan,nan,nan
2024-06-14,578.0,563.0,576.8,564.45,564.5,573.75,393118,223099078.6,1485,469.6,INE269A01021,567.51,-2.14,2.40,-1.62,nan,nan,nan,nan
2024-06-18,574.45,557.05,569.7,559.25,560.5,564.45,578240,327573919.05,1485,469.6,INE269A01021,566.5,-1.83,2.72,-0.92,nan,nan,nan,nan
2024-06-19,567.6,552.05,559.25,563.55,563.05,559.25,382854,214653108.85,1485,469.6,INE269A01021,560.67,0.77,0.72,0.77,nan,nan,nan,nan
2024-06-20,605.0,565.0,567.95,602.6,604.9,563.55,2094584,1240143116.8,1485,469.6,INE269A01021,592.07,6.10,0.40,6.93,nan,nan,nan,nan
2024-06-21,635.9,597.15,610.05,605.1,602.75,602.6,2630278,1630428187.1,1485,469.6,INE269A01021,619.87,-0.81,5.09,0.41,nan,nan,nan,nan
2024-06-24,604.9,578.7,604.9,588.35,589.0,605.1,890970,524552530.75,1485,469.6,INE269A01021,588.74,-2.74,2.81,-2.77,nan,nan,nan,nan
2024-06-25,593.15,575.0,590.1,576.45,577.0,588.35,482188,280261713.35,1485,469.6,INE269A01021,581.23,-2.31,2.90,-2.02,nan,nan,nan,nan
2024-06-26,588.05,574.8,582.15,585.45,585.3,576.45,448764,261881079.85,1485,469.6,INE269A01021,583.56,0.57,0.44,1.56,nan,nan,nan,nan
2024-06-27,609.65,578.1,587.5,589.0,588.9,585.45,1151826,686457447.35,1485,469.6,INE269A01021,595.97,0.26,3.51,0.61,nan,nan,nan,nan
2024-06-28,598.65,587.0,591.8,592.45,592.05,589.0,462026,273772712.65,1485,469.6,INE269A01021,592.55,0.11,1.05,0.59,nan,nan,nan,nan
2024-07-01,625.0,592.35,595.0,621.5,619.0,592.45,1180597,724888936.6,1485,469.6,INE269A01021,614.0,4.45,0.56,4.90,nan,nan,nan,nan
2024-07-02,634.9,613.6,624.0,630.2,630.0,621.5,1051980,660189767.1,1485,469.6,INE269A01021,627.57,0.99,0.75,1.40,nan,nan,nan,nan
2024-07-03,642.4,622.9,633.3,625.45,627.25,630.2,596085,377173160.8,1485,469.6,INE269A01021,632.75,-1.24,2.71,-0.75,nan,nan,nan,nan
2024-07-04,657.3,627.25,635.0,647.6,649.95,625.45,1599060,1031306382.15,1485,469.6,INE269A01021,644.95,1.98,1.50,3.54,76.38,nan,nan,nan
2024-07-05,648.9,631.0,648.0,636.25,638.3,647.6,582599,373799500.15,1485,469.6,INE269A01021,641.61,-1.81,1.99,-1.75,68.86,nan,nan,nan
2024-07-08,645.55,617.0,638.3,633.25,632.55,636.25,599583,376554924.05,1485,469.6,INE269A01021,628.03,-0.79,1.94,-0.47,66.98,nan,nan,nan
2024-07-09,637.9,624.0,635.0,627.3,627.0,633.25,329903,208082732.45,1485,469.6,INE269A01021,630.74,-1.21,1.69,-0.94,63.30,nan,nan,nan
2024-07-10,627.3,607.75,627.0,615.05,617.7,627.3,264966,163547208.05,1485,469.6,INE269A01021,617.24,-1.91,1.99,-1.95,56.42,nan,nan,nan
2024-07-11,630.0,612.0,615.1,624.55,620.0,615.05,377641,233270344.65,1485,469.6,INE269A01021,617.7,1.54,0.87,1.54,60.04,nan,nan,nan
2024-07-12,740.0,628.0,628.0,710.5,691.15,624.55,9372461,6435965928.6,1485,469.6,INE269A01021,686.69,13.14,4.15,13.76,77.94,nan,nan,nan
2024-07-15,744.7,678.3,703.0,684.8,689.0,710.5,2903754,2053961762.7,1485,469.6,INE269A01021,707.35,-2.59,8.75,-3.62,68.11,nan,nan,nan
2024-07-16,695.1,673.5,688.0,678.15,680.0,684.8,701160,476558786.85,1485,469.6,INE269A01021,679.67,-1.43,2.50,-0.97,65.80,nan,nan,nan
2024-07-18,701.5,665.25,674.0,694.35,700.0,678.15,2937651,2007618009.6,1485,469.6,INE269A01021,683.41,3.02,1.03,2.39,68.60,nan,nan,nan
2024-07-19,713.8,657.0,702.85,662.0,663.0,694.35,1531106,1052548355.8,1485,469.6,INE269A01021,687.44,-5.81,7.82,-4.66,58.34,nan,nan,nan
2024-07-22,674.4,650.0,661.8,663.35,668.0,662.0,1147259,760093316.0,1485,469.6,INE269A01021,662.53,0.23,1.67,0.20,58.62,34.41,nan,nan
2024-07-23,706.0,639.45,666.95,683.5,686.4,663.35,1501617,1020852723.8,1485,469.6,INE269A01021,679.84,2.48,3.29,3.04,62.63,34.07,nan,nan
2024-07-23,706.0,639.45,666.95,683.5,686.4,663.35,1501617,1020852723.8,1485,469.6,INE269A01021,679.84,2.48,3.29,3.04,62.63,33.42,nan,nan
2024-07-24,752.4,680.1,683.5,737.65,735.0,683.5,4247666,3037919637.8,1485,469.6,INE269A01021,715.2,7.92,2.00,7.92,71.30,36.85,nan,nan
2024-07-25,728.6,709.55,720.0,714.05,713.4,737.65,935941,670096289.35,1485,469.6,INE269A01021,715.96,-0.83,2.04,-3.20,64.30,37.24,nan,nan
2024-07-26,750.0,711.8,714.05,738.1,733.5,714.05,1430495,1046632158.95,1485,469.6,INE269A01021,731.66,3.37,1.61,3.37,67.77,39.03,nan,nan
2024-07-29,753.0,725.5,745.0,729.7,728.55,738.1,527221,387954193.95,1485,469.6,INE269A01021,735.85,-2.05,3.19,-1.14,65.38,39.32,nan,nan
2024-07-30,763.7,717.25,736.05,753.0,746.8,729.7,992863,736643241.9,1485,469.6,INE269A01021,741.94,2.30,1.42,3.19,68.68,40.96,nan,nan
2024-07-31,760.2,721.05,745.0,736.85,735.0,753.0,1134095,840165207.15,1485,469.6,INE269A01021,740.82,-1.09,3.17,-2.14,64.12,40.49,37.31,3.18
2024-08-01,730.0,657.2,730.0,664.15,666.6,736.85,4625808,3156446295.0,1485,469.6,INE269A01021,682.36,-9.02,9.91,-9.87,48.49,33.86,36.62,-2.76
2024-08-02,674.65,643.1,665.5,657.35,660.1,664.15,1720390,1130548070.3,1485,469.6,INE269A01021,657.15,-1.22,2.63,-1.02,47.33,27.74,34.84,-7.11
2024-08-05,659.0,622.0,645.0,626.6,627.0,657.35,1064151,675694157.4,1485,469.6,INE269A01021,634.96,-2.85,5.17,-4.68,42.39,20.17,31.91,-11.74
2024-08-06,661.6,631.4,634.1,649.25,647.0,626.6,915136,594973277.25,1485,469.6,INE269A01021,650.15,2.39,1.90,3.61,46.80,15.82,28.69,-12.87
2024-08-07,664.2,636.7,659.55,639.95,642.8,649.25,582709,377805586.9,1485,469.6,INE269A01021,648.36,-2.97,3.79,-1.43,45.26,11.49,25.25,-13.76
2024-08-08,646.35,615.0,646.35,618.3,619.2,639.95,585942,366553418.75,1485,469.6,INE269A01021,625.58,-4.34,4.54,-3.38,41.83,6.24,21.45,-15.21
2024-08-09,632.95,596.05,626.2,601.6,600.0,618.3,962538,588636378.5,1485,469.6,INE269A01021,611.55,-3.93,5.21,-2.70,39.35,0.72,17.30,-16.58
2024-08-12,609.8,591.4,600.75,604.05,604.5,601.6,691712,416071851.65,1485,469.6,INE269A01021,601.51,0.55,0.95,0.41,39.91,-3.41,13.16,-16.57
2024-08-13,609.0,579.35,607.2,583.8,582.25,604.05,880356,521662599.5,1485,469.6,INE269A01021,592.56,-3.85,4.32,-3.35,36.87,-8.23,8.88,-17.11
2024-08-14,609.95,587.0,590.5,603.05,603.0,583.8,1178964,708688878.55,1485,469.6,INE269A01021,601.11,2.13,1.14,3.30,41.44,-10.37,5.03,-15.41
2024-08-16,621.95,608.5,614.9,615.65,614.1,603.05,802315,494015683.9,1485,469.6,INE269A01021,615.74,0.12,1.02,2.09,44.29,-10.93,1.84,-12.77
2024-08-19,644.0,624.3,627.0,628.2,629.0,615.65,1073292,678363043.65,1485,469.6,INE269A01021,632.04,0.19,2.52,2.04,47.05,-10.24,-0.58,-9.66
2024-08-20,639.2,616.3,635.0,621.65,620.0,628.2,786758,492060918.3,1485,469.6,INE269A01021,625.43,-2.10,2.82,-1.04,45.77,-10.11,-2.48,-7.62
