timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,28.15,27.61,27.8,27.84,27.86,27.42,25906206,721472304.9,40.15,17.7,INE683A01023,27.85,0.14,1.11,1.53,nan,nan,nan,nan
2024-06-14,27.95,27.62,27.95,27.71,27.74,27.84,15382743,426920525.08,40.15,17.7,INE683A01023,27.75,-0.86,0.87,-0.47,nan,nan,nan,nan
2024-06-18,27.94,27.59,27.9,27.7,27.8,27.71,15753328,436271662.0,40.15,17.7,INE683A01023,27.69,-0.72,0.87,-0.04,nan,nan,nan,nan
2024-06-19,28.68,27.6,27.7,27.92,27.92,27.7,45619371,1282991509.9,40.15,17.7,INE683A01023,28.12,0.79,2.72,0.79,nan,nan,nan,nan
2024-06-20,28.82,27.95,28.08,28.52,28.59,27.92,50716755,1443946073.02,40.15,17.7,INE683A01023,28.47,1.57,1.05,2.15,nan,nan,nan,nan
2024-06-21,28.85,27.57,28.75,27.75,27.73,28.52,33693761,944962315.82,40.15,17.7,INE683A01023,28.05,-3.48,3.96,-2.70,nan,nan,nan,nan
2024-06-24,27.88,27.29,27.87,27.57,27.59,27.75,20434899,564327960.3,40.15,17.7,INE683A01023,27.62,-1.08,1.12,-0.65,nan,nan,nan,nan
2024-06-25,27.75,27.3,27.65,27.43,27.46,27.57,13776390,379276437.75,40.15,17.7,INE683A01023,27.53,-0.80,1.17,-0.51,nan,nan,nan,nan
2024-06-26,27.55,27.2,27.45,27.26,27.26,27.43,13553591,370550304.18,40.15,17.7,INE683A01023,27.34,-0.69,1.06,-0.62,nan,nan,nan,nan
2024-06-27,27.34,26.9,27.26,27.0,27.06,27.26,16497979,446982734.1,40.15,17.7,INE683A01023,27.09,-0.95,1.26,-0.95,nan,nan,nan,nan
2024-06-28,27.39,26.9,27.15,26.94,26.98,27.0,14502285,392236986.35,40.15,17.7,INE683A01023,27.05,-0.77,1.67,-0.22,nan,nan,nan,nan
2024-07-01,27.22,26.9,27.0,27.05,27.06,26.94,11743893,317551957.86,40.15,19.5,INE683A01023,27.04,0.19,0.63,0.41,nan,nan,nan,nan
2024-07-02,27.47,26.41,27.3,26.58,26.6,27.05,32278984,867363355.42,40.15,19.5,INE683A01023,26.87,-2.64,3.35,-1.74,nan,nan,nan,nan
2024-07-03,26.97,26.62,26.9,26.77,26.79,26.58,13514360,362487345.97,40.15,19.5,INE683A01023,26.82,-0.48,0.75,0.71,nan,nan,nan,nan
2024-07-04,27.05,26.66,27.0,26.79,26.84,26.77,14061989,377397823.79,40.15,19.5,INE683A01023,26.84,-0.78,0.97,0.07,32.77,nan,nan,nan
2024-07-05,27.33,26.6,26.86,27.07,27.11,26.79,24398521,658053193.35,40.15,19.5,INE683A01023,26.97,0.78,0.96,1.05,41.44,nan,nan,nan
2024-07-08,27.27,26.54,27.07,26.62,26.63,27.07,18635503,498868523.78,40.15,19.5,INE683A01023,26.77,-1.66,2.44,-1.66,33.88,nan,nan,nan
2024-07-09,27.39,26.52,26.79,26.69,26.77,26.62,25484858,687062218.07,40.15,19.5,INE683A01023,26.96,-0.37,2.62,0.26,35.84,nan,nan,nan
2024-07-10,26.94,26.1,26.93,26.31,26.34,26.69,21578098,570164674.78,40.15,19.5,INE683A01023,26.42,-2.30,2.39,-1.42,30.54,nan,nan,nan
2024-07-11,26.77,26.31,26.5,26.61,26.65,26.31,17506049,464088366.89,40.15,19.5,INE683A01023,26.51,0.42,0.60,1.14,38.29,nan,nan,nan
2024-07-12,26.8,26.33,26.68,26.46,26.51,26.61,13764119,365060997.53,40.15,19.5,INE683A01023,26.52,-0.82,1.28,-0.56,36.12,nan,nan,nan
2024-07-15,26.77,26.03,26.45,26.56,26.64,26.46,29710695,783023547.07,40.15,19.5,INE683A01023,26.35,0.42,0.79,0.38,38.62,nan,nan,nan
2024-07-16,27.09,26.55,26.79,26.81,26.83,26.56,21245490,569269272.48,40.15,19.5,INE683A01023,26.79,0.07,1.04,0.94,44.47,nan,nan,nan
2024-07-18,27.15,26.43,27.0,26.51,26.54,26.81,22701521,607249021.85,40.15,19.5,INE683A01023,26.75,-1.81,2.41,-1.12,39.59,nan,nan,nan
2024-07-19,28.19,27.0,27.75,27.21,27.15,26.51,105016909,2890570460.09,40.15,19.5,INE683A01023,27.52,-1.95,3.60,2.64,52.64,nan,nan,nan
2024-07-22,27.24,26.81,27.24,26.93,26.93,27.21,17810936,480905971.41,40.15,19.5,INE683A01023,27.0,-1.14,1.15,-1.03,48.16,-0.27,nan,nan
2024-07-23,27.04,25.9,26.96,26.68,26.74,26.93,24314102,645427282.62,40.15,19.5,INE683A01023,26.55,-1.04,1.35,-0.93,44.52,-0.26,nan,nan
2024-07-23,27.04,25.9,26.96,26.68,26.74,26.93,24314102,645427282.62,40.15,19.5,INE683A01023,26.55,-1.04,1.35,-0.93,44.52,-0.25,nan,nan
2024-07-24,27.38,26.71,26.89,27.19,27.18,26.68,21134986,571547921.78,40.15,19.5,INE683A01023,27.04,1.12,0.70,1.91,52.94,-0.20,nan,nan
2024-07-25,27.05,26.66,27.0,26.74,26.79,27.19,16522662,444443853.35,40.15,19.5,INE683A01023,26.9,-0.96,1.16,-1.66,46.26,-0.19,nan,nan
2024-07-26,27.15,26.65,26.79,26.9,26.87,26.74,14038758,377257578.69,40.15,19.5,INE683A01023,26.87,0.41,0.93,0.60,48.74,-0.18,nan,nan
2024-07-29,27.78,27.07,27.15,27.14,27.17,26.9,26930093,737821176.17,40.15,19.5,INE683A01023,27.4,-0.04,2.36,0.89,52.29,-0.14,nan,nan
2024-07-30,27.66,27.15,27.3,27.18,27.25,27.14,30780153,843610721.31,40.15,19.5,INE683A01023,27.41,-0.44,1.77,0.15,52.87,-0.11,nan,nan
2024-07-31,27.47,26.71,27.4,26.76,26.77,27.18,23128878,621936723.66,40.15,19.5,INE683A01023,26.89,-2.34,2.65,-1.55,46.43,-0.11,-0.19,0.08
2024-08-01,26.97,26.51,26.96,26.54,26.53,26.76,16332325,435264270.74,40.15,19.5,INE683A01023,26.65,-1.56,1.62,-0.82,43.44,-0.13,-0.18,0.05
2024-08-02,26.48,26.13,26.48,26.33,26.33,26.54,17854887,469655254.46,40.15,19.5,INE683A01023,26.3,-0.57,0.57,-0.79,40.75,-0.16,-0.18,0.01
2024-08-05,25.85,25.0,25.85,25.12,25.14,26.33,33269372,840195217.86,40.15,19.55,INE683A01023,25.25,-2.82,2.91,-4.60,29.42,-0.28,-0.20,-0.09
2024-08-06,25.84,25.0,25.65,25.02,25.04,25.12,18739636,472904569.07,40.15,19.55,INE683A01023,25.24,-2.46,3.28,-0.40,28.71,-0.38,-0.23,-0.15
2024-08-07,25.43,24.86,25.4,25.06,25.1,25.02,17973650,449945268.24,40.15,19.55,INE683A01023,25.03,-1.34,1.48,0.16,29.45,-0.45,-0.28,-0.17
2024-08-08,25.16,24.84,25.11,24.93,24.9,25.06,15908411,398114925.75,40.15,19.55,INE683A01023,25.03,-0.72,0.92,-0.52,28.42,-0.51,-0.32,-0.19
2024-08-09,25.17,24.9,25.12,24.99,25.02,24.93,14403903,360309379.61,40.15,19.55,INE683A01023,25.01,-0.52,0.72,0.24,29.64,-0.55,-0.37,-0.18
2024-08-12,25.0,24.68,24.98,24.84,24.89,24.99,13370888,332175156.37,40.15,20.25,INE683A01023,24.84,-0.56,0.64,-0.60,28.34,-0.58,-0.41,-0.17
2024-08-13,24.95,24.5,24.9,24.53,24.55,24.84,13824675,341394893.88,40.15,20.25,INE683A01023,24.69,-1.49,1.71,-1.25,25.83,-0.63,-0.45,-0.17
2024-08-14,24.65,24.01,24.65,24.07,24.15,24.53,13830312,334492517.62,40.15,20.25,INE683A01023,24.19,-2.35,2.41,-1.88,22.62,-0.69,-0.50,-0.19
2024-08-16,25.12,24.14,24.25,24.98,25.12,24.07,14117662,346423338.09,40.15,20.25,INE683A01023,24.54,3.01,0.56,3.78,38.81,-0.66,-0.53,-0.13
2024-08-19,25.7,25.2,25.23,25.63,25.7,24.98,16043280,408896886.05,40.15,22.1,INE683A01023,25.49,1.59,0.27,2.60,47.29,-0.58,-0.54,-0.04
2024-08-20,25.63,25.3,25.6,25.51,25.55,25.63,11929681,303974933.69,40.15,22.1,INE683A01023,25.48,-0.35,0.47,-0.47,46.02,-0.52,-0.54,0.02
2024-08-21,26.15,25.48,25.51,25.97,26.14,25.51,14551080,375378597.31,40.15,22.1,INE683A01023,25.8,1.80,0.69,1.80,51.40,-0.43,-0.51,0.09
2024-08-22,26.99,26.07,26.25,26.9,26.88,25.97,24200641,644106914.68,40.15,22.1,INE683A01023,26.62,2.48,0.33,3.58,60.07,-0.28,-0.47,0.19
2024-08-23,27.04,26.25,27.0,26.33,26.41,26.9,12861133,342937960.16,40.15,22.1,INE683A01023,26.66,-2.48,2.70,-2.12,53.74,-0.20,-0.41,0.21
2024-08-26,26.59,25.54,26.45,25.65,25.69,26.33,14922346,387938423.49,40.15,22.25,INE683A01023,26.0,-3.02,3.66,-2.58,47.34,-0.19,-0.37,0.18
2024-08-27,25.78,25.5,25.65,25.67,25.7,25.65,8428067,216148378.18,40.15,22.25,INE683A01023,25.65,0.08,0.43,0.08,47.54,-0.18,-0.33,0.15
2024-08-28,25.85,25.6,25.67,25.66,25.74,25.67,7707127,198227888.68,40.15,22.25,INE683A01023,25.72,-0.04,0.74,-0.04,47.44,-0.17,-0.30,0.13
2024-08-29,25.78,25.5,25.74,25.61,25.65,25.66,10057140,257790703.57,40.15,22.25,INE683A01023,25.63,-0.51,0.66,-0.19,46.93,-0.17,-0.27,0.10
2024-08-30,25.84,25.55,25.66,25.63,25.64,25.61,8086137,207732687.57,40.15,22.25,INE683A01023,25.69,-0.12,0.82,0.08,47.17,-0.16,-0.25,0.09
2024-09-02,25.7,25.32,25.69,25.4,25.41,25.63,8584555,218578396.64,40.15,22.25,INE683A01023,25.46,-1.13,1.18,-0.90,44.62,-0.17,-0.24,0.06
2024-09-03,25.65,25.18,25.65,25.47,25.53,25.4,9875152,251505424.35,40.15,22.25,INE683A01023,25.47,-0.70,0.71,0.28,45.59,-0.17,-0.22,0.05
2024-09-04,25.62,25.26,25.38,25.34,25.32,25.47,8306348,211243661.99,40.15,22.25,INE683A01023,25.43,-0.16,1.10,-0.51,44.05,-0.18,-0.22,0.03
2024-09-05,25.53,25.25,25.41,25.3,25.3,25.34,7580778,192488119.59,40.15,22.25,INE683A01023,25.39,-0.43,0.91,-0.16,43.57,-0.19,-0.21,0.02
2024-09-06,25.33,24.9,25.3,25.0,25.02,25.3,9384350,235176611.26,40.15,22.25,INE683A01023,25.06,-1.19,1.32,-1.19,40.00,-0.22,-0.21,-0.01
2024-09-09,25.02,24.53,25.0,24.75,24.79,25.0,8941435,220999804.86,40.15,22.25,INE683A01023,24.72,-1.00,1.09,-1.00,37.27,-0.26,-0.22,-0.04
2024-09-10,25.11,24.71,24.79,24.86,24.9,24.75,8955367,222879604.89,40.15,22.25,INE683A01023,24.89,0.28,1.01,0.44,39.24,-0.28,-0.23,-0.05
