timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,50.5,49.29,50.5,49.87,49.61,50.28,48465602,2422339280.18,52.1,13.25,INE040H01021,49.98,-1.25,1.26,-0.82,nan,nan,nan,nan
2024-06-14,51.19,49.1,50.0,49.48,49.44,49.87,85029862,4271324085.8,52.1,13.25,INE040H01021,50.23,-1.04,3.46,-0.78,nan,nan,nan,nan
2024-06-18,50.29,48.85,49.6,49.96,49.91,49.48,49874657,2488099526.38,52.1,13.25,INE040H01021,49.89,0.73,0.66,0.97,nan,nan,nan,nan
2024-06-19,50.28,48.75,50.19,48.9,48.93,49.96,26139387,1284711773.16,52.1,13.25,INE040H01021,49.15,-2.57,2.82,-2.12,nan,nan,nan,nan
2024-06-20,51.34,49.55,51.34,50.53,50.5,48.9,99070183,5028832042.82,52.1,13.25,INE040H01021,50.76,-1.58,1.60,3.33,nan,nan,nan,nan
2024-06-21,53.05,51.0,51.2,53.05,53.05,50.53,143678671,7543676224.47,53.05,13.25,INE040H01021,52.5,3.61,0.00,4.99,nan,nan,nan,nan
2024-06-24,55.7,54.15,55.45,54.7,54.86,53.05,149419809,8253249640.8,55.7,13.65,INE040H01021,55.24,-1.35,1.83,3.11,nan,nan,nan,nan
2024-06-25,55.5,53.32,55.15,53.6,53.54,54.7,63723030,3481478826.62,55.7,13.65,INE040H01021,54.63,-2.81,3.54,-2.01,nan,nan,nan,nan
2024-06-26,54.37,52.3,53.6,52.76,52.72,53.6,52438770,2792342379.95,55.7,13.65,INE040H01021,53.25,-1.57,3.05,-1.57,nan,nan,nan,nan
2024-06-27,54.0,51.5,53.05,53.28,53.4,52.76,52502181,2784800497.46,55.7,13.65,INE040H01021,53.04,0.43,1.35,0.99,nan,nan,nan,nan
2024-06-28,54.0,52.71,53.9,52.86,52.8,53.28,38744898,2058934259.21,55.7,13.65,INE040H01021,53.14,-1.93,2.16,-0.79,nan,nan,nan,nan
2024-07-01,53.28,52.59,53.2,52.93,52.9,52.86,25423991,1344066087.06,55.7,15.75,INE040H01021,52.87,-0.51,0.66,0.13,nan,nan,nan,nan
2024-07-02,53.38,52.43,53.0,53.03,53.1,52.93,24502330,1297078493.79,55.7,15.75,INE040H01021,52.94,0.06,0.66,0.19,nan,nan,nan,nan
2024-07-03,53.95,53.0,53.1,53.53,53.56,53.03,29907631,1597018609.25,55.7,15.75,INE040H01021,53.4,0.81,0.78,0.94,nan,nan,nan,nan
2024-07-04,55.67,53.37,53.6,54.03,54.0,53.53,63199465,3433030061.51,55.7,15.75,INE040H01021,54.32,0.80,3.04,0.93,68.63,nan,nan,nan
2024-07-05,56.49,53.8,54.37,55.49,55.68,54.03,96909661,5393512983.56,56.49,15.75,INE040H01021,55.66,2.06,1.80,2.70,74.54,nan,nan,nan
2024-07-08,56.0,54.5,55.95,55.2,55.17,55.49,54588551,3029419067.14,56.49,17.05,INE040H01021,55.5,-1.34,1.45,-0.52,71.65,nan,nan,nan
2024-07-09,55.84,53.86,55.3,55.37,55.38,55.2,33858415,1857044526.95,56.49,17.05,INE040H01021,54.85,0.13,0.85,0.31,72.33,nan,nan,nan
2024-07-10,56.0,53.9,55.67,54.89,54.76,55.37,37727227,2074220112.62,56.49,17.05,INE040H01021,54.98,-1.40,2.02,-0.87,67.43,nan,nan,nan
2024-07-11,55.0,54.2,55.0,54.72,54.9,54.89,26061094,1424598035.25,56.49,17.05,INE040H01021,54.66,-0.51,0.51,-0.31,65.73,nan,nan,nan
2024-07-12,55.43,53.65,55.0,54.63,54.68,54.72,37499020,2040827348.91,56.49,17.05,INE040H01021,54.42,-0.67,1.46,-0.16,64.80,nan,nan,nan
2024-07-15,55.0,54.02,55.0,54.62,54.5,54.63,27141448,1477407738.02,56.49,17.45,INE040H01021,54.43,-0.69,0.70,-0.02,64.69,nan,nan,nan
2024-07-16,56.0,54.43,54.9,55.88,55.72,54.62,76577863,4239395874.08,56.49,17.45,INE040H01021,55.36,1.79,0.21,2.31,71.28,nan,nan,nan
2024-07-18,55.72,53.82,55.5,55.39,55.33,55.88,68196637,3762889026.37,56.49,17.45,INE040H01021,55.18,-0.20,0.60,-0.88,66.12,nan,nan,nan
2024-07-19,55.87,53.82,55.38,54.55,54.5,55.39,52178598,2852746566.8,56.49,17.45,INE040H01021,54.67,-1.50,2.42,-1.52,58.31,nan,nan,nan
2024-07-22,55.44,53.5,54.66,55.08,55.24,54.55,47805246,2601025304.21,56.49,17.45,INE040H01021,54.41,0.77,0.65,0.97,61.41,1.25,nan,nan
2024-07-23,57.83,54.0,57.2,57.83,57.83,55.08,281887693,16218930583.71,57.83,17.45,INE040H01021,57.54,1.10,0.00,4.99,72.72,1.41,nan,nan
