timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,VWAP
2024-08-02,99.95,90.9,91.89,97.99,98.15,93.04,31794638,3091631102.46,111.4,65.05,97.24
2024-08-05,95.65,91.0,95.0,91.65,91.4,97.99,17086584,1586863837.17,111.4,65.05,92.87
2024-08-06,94.95,89.0,93.47,89.76,89.47,91.65,10334295,948527275.05,111.4,65.05,91.78
2024-08-07,93.68,90.41,92.9,91.8,92.01,89.76,12876436,1185380960.62,111.4,65.05,92.06
2024-08-08,98.3,91.28,92.0,94.22,95.0,91.8,26349157,2518730471.4,111.4,65.05,95.59
2024-08-09,96.5,92.6,96.28,92.92,93.19,94.22,7309982,686626814.42,111.4,65.05,93.93
2024-08-12,92.9,90.54,91.9,91.26,91.65,92.92,8740924,799900582.52,111.4,65.05,91.51
2024-08-13,93.9,90.0,91.79,90.35,90.25,91.26,10703148,983327152.1,111.4,65.05,91.87
2024-08-14,90.98,87.03,90.78,88.55,88.59,90.35,7667393,678059317.69,111.4,65.05,88.43
2024-08-16,90.45,87.89,90.0,89.26,89.2,88.55,6425103,571640524.1,111.4,65.05,88.97
2024-08-19,94.22,89.0,89.0,93.27,92.94,89.26,14353589,1321863101.85,111.4,65.05,92.09
2024-08-20,95.45,92.02,93.5,93.1,93.1,93.27,12929171,1208075352.0,111.4,65.05,93.44
2024-08-21,94.35,92.21,93.4,92.39,92.38,93.1,6662302,619687974.1,111.4,65.05,93.01
2024-08-22,97.7,92.41,92.9,95.48,95.43,92.39,26930992,2577879824.04,111.4,65.05,95.72
2024-08-23,95.9,93.1,95.5,93.94,93.2,95.48,6740002,637146378.75,111.4,65.05,94.53
2024-08-26,94.2,92.01,94.2,92.34,92.18,93.94,5496548,510330413.83,111.4,65.05,92.85
2024-08-27,102.85,92.21,92.33,100.57,100.45,92.34,72108829,7206792883.91,111.4,65.05,99.94
2024-08-28,104.0,96.37,100.57,96.81,96.95,100.57,54007889,5445110545.3,111.4,65.05,100.82
2024-08-29,99.51,94.8,97.1,95.81,96.19,96.81,17384567,1680476752.48,111.4,65.05,96.66
2024-08-30,100.75,94.9,96.15,97.14,96.89,95.81,21066918,2060362217.16,111.4,65.05,97.8
