timestamp,high,low,open,close,ltp,prevclose,volume,CH_TOT_TRADED_VAL,h52w,l52w,ISIN,VWAP,day_rise,strength,gapup,RSI,macd,macd_signal,macd_hist
2024-06-13,449.95,439.0,449.0,439.8,440.0,444.25,11641274,5156998502.75,506.75,208,INE205A01025,442.99,-2.05,2.31,-1.00,nan,nan,nan,nan
2024-06-14,451.9,440.0,441.1,447.6,446.7,439.8,9634670,4317950006.6,506.75,208,INE205A01025,448.17,1.47,0.96,1.77,nan,nan,nan,nan
2024-06-18,454.8,447.6,449.95,452.3,453.75,447.6,8601634,3883638258.25,506.75,208,INE205A01025,451.5,0.52,0.55,1.05,nan,nan,nan,nan
2024-06-19,455.6,446.05,452.55,448.45,449.4,452.3,6416994,2888271169.25,506.75,208,INE205A01025,450.1,-0.91,1.59,-0.85,nan,nan,nan,nan
2024-06-20,479.0,449.15,450.0,469.95,470.95,448.45,28530186,13371253208.8,506.75,208,INE205A01025,468.67,4.43,1.93,4.79,nan,nan,nan,nan
2024-06-21,474.6,464.0,472.75,470.25,469.3,469.95,17801714,8352783891.5,506.75,208,INE205A01025,469.21,-0.53,0.93,0.06,nan,nan,nan,nan
2024-06-24,471.5,457.2,460.05,463.35,464.8,470.25,7716484,3594385171.5,506.75,208,INE205A01025,465.81,0.72,1.76,-1.47,nan,nan,nan,nan
2024-06-25,468.55,451.0,465.2,454.05,452.5,463.35,8309097,3810686626.7,506.75,208,INE205A01025,458.62,-2.40,3.19,-2.01,nan,nan,nan,nan
2024-06-26,446.85,426.05,436.65,442.1,442.0,454.05,162210828,70816009517.25,506.75,208,INE205A01025,436.57,1.25,1.07,-2.63,nan,nan,nan,nan
2024-06-27,446.1,433.55,442.0,443.3,443.05,442.1,20922873,9232549412.85,506.75,208,INE205A01025,441.27,0.29,0.63,0.27,nan,nan,nan,nan
2024-06-28,458.65,443.85,444.6,454.0,454.0,443.3,15248617,6911991404.2,506.75,208,INE205A01025,453.29,2.11,1.02,2.41,nan,nan,nan,nan
2024-07-01,468.85,456.25,457.0,465.0,467.3,454.0,15408362,7130491115.3,506.75,208,INE205A01025,462.77,1.75,0.83,2.42,nan,nan,nan,nan
2024-07-02,473.1,455.0,467.0,457.85,457.8,465.0,11050920,5108622308.15,506.75,208,INE205A01025,462.28,-1.96,3.33,-1.54,nan,nan,nan,nan
2024-07-03,465.25,458.25,460.15,463.9,463.7,457.85,7347763,3393517559.8,506.75,208,INE205A01025,461.84,0.81,0.29,1.32,nan,nan,nan,nan
2024-07-04,473.45,463.45,468.1,469.1,469.1,463.9,12818706,6002861384.45,506.75,208,INE205A01025,468.29,0.21,0.93,1.12,63.73,nan,nan,nan
2024-07-05,479.6,467.0,470.4,473.85,475.0,469.1,12860621,6091831580.05,506.75,208,INE205A01025,473.68,0.73,1.21,1.01,66.25,nan,nan,nan
2024-07-08,477.5,464.8,475.9,465.65,466.1,473.85,8576939,4029378370.4,506.75,208,INE205A01025,469.79,-2.15,2.54,-1.73,58.68,nan,nan,nan
2024-07-09,468.0,462.6,467.4,465.65,465.75,465.65,5474279,2545216443.75,506.75,208,INE205A01025,464.94,-0.37,0.50,0.00,58.68,nan,nan,nan
2024-07-10,466.95,445.15,466.0,456.7,455.0,465.65,11556309,5268149224.7,506.75,208,INE205A01025,455.87,-2.00,2.24,-1.92,51.26,nan,nan,nan
2024-07-11,458.0,441.65,457.0,447.7,448.15,456.7,13978497,6280105716.8,506.75,208,INE205A01025,449.27,-2.04,2.30,-1.97,45.09,nan,nan,nan
2024-07-12,454.4,445.1,451.9,449.7,448.75,447.7,11038603,4969220913.95,506.75,208,INE205A01025,450.17,-0.49,1.05,0.45,46.63,nan,nan,nan
2024-07-15,462.5,446.25,452.1,459.45,462.25,449.7,10391508,4747498699.0,506.75,208,INE205A01025,456.86,1.63,0.66,2.17,53.47,nan,nan,nan
2024-07-16,467.55,453.6,466.9,455.5,455.7,459.45,23302200,10737045912.55,506.75,208,INE205A01025,460.77,-2.44,2.65,-0.86,50.64,nan,nan,nan
2024-07-18,460.5,448.0,458.95,451.4,450.75,455.5,16469541,7469154227.05,506.75,208,INE205A01025,453.51,-1.65,2.02,-0.90,47.81,nan,nan,nan
2024-07-19,454.25,438.0,453.0,439.8,441.0,451.4,14552716,6467019280.75,506.75,208,INE205A01025,444.39,-2.91,3.29,-2.57,40.85,nan,nan,nan
2024-07-22,451.0,437.0,442.0,448.75,450.1,439.8,17818304,7930294594.95,506.75,208,INE205A01025,445.06,1.53,0.50,2.04,47.23,-2.75,nan,nan
2024-07-23,449.4,410.55,449.4,434.95,433.8,448.75,33154992,14284402614.15,506.75,208,INE205A01025,430.84,-3.22,3.32,-3.08,40.06,-4.00,nan,nan
2024-07-23,449.4,410.55,449.4,434.95,433.8,448.75,33154992,14284402614.15,506.75,208,INE205A01025,430.84,-3.22,3.32,-3.08,40.06,-4.94,nan,nan
2024-07-24,441.0,430.85,436.8,432.7,432.8,434.95,36773405,16027768803.65,506.75,208,INE205A01025,435.85,-0.94,1.92,-0.52,38.94,-5.80,nan,nan
2024-07-25,434.35,424.0,428.85,430.9,433.0,432.7,18871603,8076486209.85,506.75,208,INE205A01025,427.97,0.48,0.80,-0.42,38.02,-6.55,nan,nan
2024-07-26,448.15,434.6,439.0,444.5,447.25,430.9,28749214,12759942864.35,506.75,208,INE205A01025,443.84,1.25,0.82,3.16,47.97,-5.97,nan,nan
2024-07-29,455.5,438.0,447.0,448.95,446.25,444.5,45433689,20379356615.5,506.75,208,INE205A01025,448.55,0.44,1.46,1.00,50.75,-5.10,nan,nan
2024-07-30,448.15,440.2,446.8,447.2,447.4,448.95,16607270,7386268478.7,506.75,208,INE205A01025,444.76,0.09,0.21,-0.39,49.63,-4.50,nan,nan
2024-07-31,454.4,445.5,453.0,450.75,451.7,447.2,14227543,6389962333.05,506.75,208,INE205A01025,449.13,-0.50,0.81,0.79,51.95,-3.69,-4.81,1.12
2024-08-01,462.25,443.55,458.0,448.1,448.8,450.75,19749880,8954560148.35,506.75,208,INE205A01025,453.4,-2.16,3.16,-0.59,50.09,-3.23,-4.50,1.26
2024-08-02,441.95,432.3,440.0,434.2,434.0,448.1,13093052,5716787269.75,506.75,208,INE205A01025,436.63,-1.32,1.78,-3.10,41.67,-3.94,-4.38,0.44
2024-08-05,428.45,404.25,424.0,413.25,411.55,434.2,20763297,8614836715.7,506.75,208,INE205A01025,414.91,-2.54,3.68,-4.82,32.73,-6.12,-4.73,-1.39
2024-08-06,421.95,411.3,417.55,413.9,414.0,413.25,17994697,7491661441.95,506.75,208,INE205A01025,416.33,-0.87,1.94,0.16,33.21,-7.71,-5.33,-2.38
2024-08-07,434.45,418.5,425.5,432.3,431.75,413.9,15297435,6566092183.45,506.75,208,INE205A01025,429.23,1.60,0.50,4.45,45.12,-7.40,-5.74,-1.66
2024-08-08,431.5,421.05,430.05,422.3,423.05,432.3,9305734,3967054015.2,506.75,208,INE205A01025,426.3,-1.80,2.18,-2.31,40.85,-7.87,-6.17,-1.70
2024-08-09,432.25,423.55,430.1,428.85,429.3,422.3,8363641,3581364929.1,506.75,208,INE205A01025,428.21,-0.29,0.79,1.55,44.55,-7.63,-6.46,-1.17
2024-08-12,436.0,424.75,426.15,432.1,431.6,428.85,8178539,3527084356.95,506.75,208,INE205A01025,431.26,1.40,0.90,0.76,46.34,-7.09,-6.59,-0.50
2024-08-13,434.0,421.25,433.2,422.35,424.95,432.1,8522806,3633360574.55,506.75,208,INE205A01025,426.31,-2.50,2.76,-2.26,41.96,-7.36,-6.74,-0.62
2024-08-14,428.5,405.2,425.0,420.2,420.0,422.35,18914429,7916895980.1,506.75,208,INE205A01025,418.56,-1.13,1.98,-0.51,41.04,-7.67,-6.93,-0.74
2024-08-16,430.85,421.55,426.0,429.05,428.75,420.2,9815524,4183208983.05,506.75,208,INE205A01025,426.18,0.72,0.42,2.11,46.27,-7.11,-6.96,-0.15
2024-08-19,444.4,429.25,430.5,442.75,442.55,429.05,10922980,4787646208.7,506.75,208,INE205A01025,438.31,2.85,0.37,3.19,53.19,-5.50,-6.67,1.17
